t(s),inventory(He/m2),flux_surface_left(He/m2/s),max_ib(He),x_max_ib(m),mean_ib(He),total_bubbles
1e-06,9.523995346926416e-07,-9.742341719591576e+19,7.00151865598,2.24609375e-08,7.000932095544739,1.360389619117618e-07
2.1000000000000002e-06,2.3904553239969417e-05,-9.84399204447633e+19,7.00259902918,2.83203125e-08,7.001035675238237,3.414430999761471e-06
3.3100000000000005e-06,0.00021779921652929338,-9.870581442737838e+19,7.00242674557,3.02734375e-08,7.000591681324308,3.111154405852908e-05
4.641000000000001e-06,0.001258542881048859,-9.884130577123017e+19,7.00208562618,2.9296875e-08,7.000513049078932,0.00017977866368157794
6.105100000000001e-06,0.005568955343987745,-9.892747400381066e+19,7.00196777212,2.83203125e-08,7.000695850816552,0.0007954859720606473
7.715610000000002e-06,0.02064357091260612,-9.898876319142175e+19,7.00203405012,2.63671875e-08,7.000960078701443,0.0029486771357843744
9.487171000000002e-06,0.06743517049310534,-9.903540387257349e+19,7.00222624831,2.24609375e-08,7.001243487125825,0.009631884766914322
1.1435888100000002e-05,0.2003542695620355,-9.90725336468643e+19,7.00251057368,1.66015625e-08,7.001532882062398,0.028615772136889314
1.3579476910000003e-05,0.5529639631821138,-9.910305484439562e+19,7.00287975108,4.5166015625e-09,7.001829999571846,0.07897420577419431
1.5937424601000003e-05,1.438909387242447,-9.912874864588231e+19,7.00330976013,4.39453125e-09,7.002140246159317,0.2054956537084059
1.8531167061100006e-05,3.5687951457292586,-9.915077768655372e+19,7.00377785867,4.2724609375e-09,7.002469396536876,0.5096480889290617
2.1384283767210007e-05,8.505657425152622,-9.916993798216788e+19,7.00428995904,4.2724609375e-09,7.002822818761505,1.2146041168376873
2.452271214393101e-05,19.60310185252857,-9.91867957278034e+19,7.00485189656,4.2724609375e-09,7.003205451059257,2.799161325413285
2.7974983358324114e-05,43.905435786816994,-9.920176641677166e+19,7.00546964659,4.2724609375e-09,7.0036219655488585,6.2689614035123356
3.177248169415653e-05,95.94005000552859,-9.921516299739855e+19,7.00614950947,4.2724609375e-09,7.004076948783466,13.697743572362144
3.5949729863572185e-05,205.18805865221327,-9.922722644940638e+19,7.00689826607,4.2724609375e-09,7.00457505622309,29.29343422052671
4.0544702849929404e-05,430.6281625418751,-9.923814590112871e+19,7.00772336738,4.39453125e-09,7.005121136777809,61.47333559744178
4.559917313492235e-05,888.7471082522725,-9.924807227397017e+19,7.00863287222,4.39453125e-09,7.005720333748949,126.86020364970523
