"arc_length","cb","6","1","2","4","5","3"
1.65e-09,6.72284e+08,662776,1.09456e+21,3.44696e+16,1.30264e+10,2.11926e+07,1.8817e+13
1.68e-09,6.91273e+08,674724,1.10801e+21,3.50786e+16,1.32601e+10,2.15743e+07,1.915e+13
1.71e-09,7.10263e+08,686672,1.12146e+21,3.56876e+16,1.34938e+10,2.1956e+07,1.9483e+13
1.74e-09,7.29252e+08,698620,1.1349e+21,3.62965e+16,1.37274e+10,2.23377e+07,1.9816e+13
1.77e-09,7.48241e+08,710569,1.14835e+21,3.69055e+16,1.39611e+10,2.27193e+07,2.0149e+13
1.8e-09,7.67231e+08,722517,1.1618e+21,3.75145e+16,1.41948e+10,2.3101e+07,2.0482e+13
1.83e-09,7.861e+08,734178,1.16874e+21,3.79949e+16,1.44197e+10,2.3472e+07,2.07912e+13
1.86e-09,8.04969e+08,745840,1.17568e+21,3.84752e+16,1.46445e+10,2.3843e+07,2.11003e+13
1.89e-09,8.23838e+08,757501,1.18262e+21,3.89556e+16,1.48694e+10,2.4214e+07,2.14094e+13
1.92e-09,8.42707e+08,769162,1.18956e+21,3.94359e+16,1.50942e+10,2.4585e+07,2.17186e+13
1.95e-09,8.61576e+08,780824,1.1965e+21,3.99163e+16,1.5319e+10,2.4956e+07,2.20277e+13
1.98e-09,8.80445e+08,792485,1.20343e+21,4.03966e+16,1.55439e+10,2.5327e+07,2.23369e+13
2.01e-09,8.99314e+08,804147,1.21037e+21,4.0877e+16,1.57687e+10,2.5698e+07,2.2646e+13
2.04e-09,9.18183e+08,815808,1.21731e+21,4.13573e+16,1.59936e+10,2.6069e+07,2.29552e+13
2.07e-09,9.37052e+08,827470,1.22425e+21,4.18376e+16,1.62184e+10,2.644e+07,2.32643e+13
2.1e-09,9.55921e+08,839131,1.23119e+21,4.2318e+16,1.64433e+10,2.68111e+07,2.35734e+13
2.13e-09,9.74791e+08,850792,1.23813e+21,4.27983e+16,1.66681e+10,2.71821e+07,2.38826e+13
2.16e-09,9.9366e+08,862454,1.24507e+21,4.32787e+16,1.6893e+10,2.75531e+07,2.41917e+13
2.19e-09,1.01253e+09,874115,1.252e+21,4.3759e+16,1.71178e+10,2.79241e+07,2.45009e+13
2.22e-09,1.0314e+09,885777,1.25894e+21,4.42394e+16,1.73426e+10,2.82951e+07,2.481e+13
2.25e-09,1.05027e+09,897438,1.26588e+21,4.47197e+16,1.75675e+10,2.86661e+07,2.51191e+13
2.28e-09,1.06914e+09,909100,1.27282e+21,4.52001e+16,1.77923e+10,2.90371e+07,2.54283e+13
2.31e-09,1.088e+09,920761,1.27976e+21,4.56804e+16,1.80172e+10,2.94081e+07,2.57374e+13
2.34e-09,1.10687e+09,932422,1.2867e+21,4.61608e+16,1.8242e+10,2.97791e+07,2.60466e+13
2.37e-09,1.12574e+09,944084,1.29363e+21,4.66411e+16,1.84669e+10,3.01501e+07,2.63557e+13
2.4e-09,1.14461e+09,955745,1.30057e+21,4.71215e+16,1.86917e+10,3.05211e+07,2.66649e+13
2.43e-09,1.16062e+09,966961,1.30279e+21,4.74355e+16,1.8903e+10,3.08755e+07,2.69396e+13
2.46e-09,1.17662e+09,978178,1.30501e+21,4.77496e+16,1.91144e+10,3.12298e+07,2.72143e+13
2.49e-09,1.19262e+09,989394,1.30723e+21,4.80637e+16,1.93257e+10,3.15842e+07,2.7489e+13
2.52e-09,1.20862e+09,1.00061e+06,1.30945e+21,4.83777e+16,1.9537e+10,3.19385e+07,2.77637e+13
2.55e-09,1.22463e+09,1.01183e+06,1.31167e+21,4.86918e+16,1.97483e+10,3.22928e+07,2.80383e+13
2.58e-09,1.24063e+09,1.02304e+06,1.31389e+21,4.90058e+16,1.99597e+10,3.26472e+07,2.8313e+13
2.61e-09,1.25663e+09,1.03426e+06,1.3161e+21,4.93199e+16,2.0171e+10,3.30015e+07,2.85877e+13
2.64e-09,1.27264e+09,1.04547e+06,1.31832e+21,4.9634e+16,2.03823e+10,3.33559e+07,2.88624e+13
2.67e-09,1.28864e+09,1.05669e+06,1.32054e+21,4.9948e+16,2.05937e+10,3.37102e+07,2.91371e+13
2.7e-09,1.30464e+09,1.06791e+06,1.32276e+21,5.02621e+16,2.0805e+10,3.40646e+07,2.94118e+13
2.73e-09,1.32065e+09,1.07912e+06,1.32498e+21,5.05762e+16,2.10163e+10,3.44189e+07,2.96865e+13
2.76e-09,1.33665e+09,1.09034e+06,1.3272e+21,5.08902e+16,2.12276e+10,3.47733e+07,2.99612e+13
2.79e-09,1.35265e+09,1.10155e+06,1.32942e+21,5.12043e+16,2.1439e+10,3.51276e+07,3.02359e+13
2.82e-09,1.36865e+09,1.11277e+06,1.33164e+21,5.15183e+16,2.16503e+10,3.5482e+07,3.05106e+13
2.85e-09,1.38466e+09,1.12399e+06,1.33385e+21,5.18324e+16,2.18616e+10,3.58363e+07,3.07853e+13
2.88e-09,1.40066e+09,1.1352e+06,1.33607e+21,5.21465e+16,2.2073e+10,3.61907e+07,3.106e+13
2.91e-09,1.41666e+09,1.14642e+06,1.33829e+21,5.24605e+16,2.22843e+10,3.6545e+07,3.13347e+13
2.94e-09,1.43267e+09,1.15763e+06,1.34051e+21,5.27746e+16,2.24956e+10,3.68994e+07,3.16094e+13
2.97e-09,1.44867e+09,1.16885e+06,1.34273e+21,5.30887e+16,2.27069e+10,3.72537e+07,3.18841e+13
3e-09,1.46467e+09,1.18007e+06,1.34495e+21,5.34027e+16,2.29183e+10,3.76081e+07,3.21588e+13
3.03e-09,1.4776e+09,1.19071e+06,1.34469e+21,5.35663e+16,2.31125e+10,3.79409e+07,3.23932e+13
3.06e-09,1.49052e+09,1.20134e+06,1.34442e+21,5.37298e+16,2.33068e+10,3.82737e+07,3.26275e+13
3.09e-09,1.50344e+09,1.21198e+06,1.34416e+21,5.38934e+16,2.3501e+10,3.86065e+07,3.28619e+13
3.12e-09,1.51637e+09,1.22262e+06,1.3439e+21,5.40569e+16,2.36953e+10,3.89394e+07,3.30963e+13
3.15e-09,1.52929e+09,1.23326e+06,1.34364e+21,5.42205e+16,2.38895e+10,3.92722e+07,3.33306e+13
3.18e-09,1.54221e+09,1.2439e+06,1.34337e+21,5.4384e+16,2.40838e+10,3.9605e+07,3.3565e+13
3.21e-09,1.55514e+09,1.25454e+06,1.34311e+21,5.45476e+16,2.4278e+10,3.99378e+07,3.37994e+13
3.24e-09,1.56806e+09,1.26518e+06,1.34285e+21,5.47111e+16,2.44723e+10,4.02707e+07,3.40338e+13
3.27e-09,1.58098e+09,1.27581e+06,1.34259e+21,5.48747e+16,2.46665e+10,4.06035e+07,3.42681e+13
3.3e-09,1.59391e+09,1.28645e+06,1.34232e+21,5.50382e+16,2.48608e+10,4.09363e+07,3.45025e+13
3.33e-09,1.60683e+09,1.29709e+06,1.34206e+21,5.52018e+16,2.5055e+10,4.12691e+07,3.47369e+13
3.36e-09,1.61975e+09,1.30773e+06,1.3418e+21,5.53653e+16,2.52493e+10,4.1602e+07,3.49712e+13
3.39e-09,1.63268e+09,1.31837e+06,1.34154e+21,5.55289e+16,2.54435e+10,4.19348e+07,3.52056e+13
3.42e-09,1.6456e+09,1.32901e+06,1.34128e+21,5.56924e+16,2.56378e+10,4.22676e+07,3.544e+13
3.45e-09,1.65852e+09,1.33965e+06,1.34101e+21,5.58559e+16,2.5832e+10,4.26004e+07,3.56743e+13
3.48e-09,1.67145e+09,1.35028e+06,1.34075e+21,5.60195e+16,2.60263e+10,4.29333e+07,3.59087e+13
3.51e-09,1.68437e+09,1.36092e+06,1.34049e+21,5.6183e+16,2.62205e+10,4.32661e+07,3.61431e+13
3.54e-09,1.69729e+09,1.37156e+06,1.34023e+21,5.63466e+16,2.64148e+10,4.35989e+07,3.63774e+13
3.57e-09,1.71022e+09,1.3822e+06,1.33996e+21,5.65101e+16,2.6609e+10,4.39317e+07,3.66118e+13
3.6e-09,1.72314e+09,1.39284e+06,1.3397e+21,5.66737e+16,2.68033e+10,4.42646e+07,3.68462e+13
3.63e-09,1.73369e+09,1.4028e+06,1.33849e+21,5.67261e+16,2.69781e+10,4.45723e+07,3.70388e+13
3.66e-09,1.74425e+09,1.41276e+06,1.33728e+21,5.67785e+16,2.7153e+10,4.48801e+07,3.72314e+13
3.69e-09,1.7548e+09,1.42272e+06,1.33607e+21,5.68309e+16,2.73278e+10,4.51878e+07,3.7424e+13
3.72e-09,1.76535e+09,1.43268e+06,1.33487e+21,5.68832e+16,2.75027e+10,4.54956e+07,3.76165e+13
3.75e-09,1.77591e+09,1.44264e+06,1.33366e+21,5.69356e+16,2.76776e+10,4.58033e+07,3.78091e+13
3.78e-09,1.78646e+09,1.4526e+06,1.33245e+21,5.6988e+16,2.78524e+10,4.61111e+07,3.80017e+13
3.81e-09,1.79701e+09,1.46256e+06,1.33124e+21,5.70404e+16,2.80273e+10,4.64189e+07,3.81943e+13
3.84e-09,1.80757e+09,1.47252e+06,1.33003e+21,5.70928e+16,2.82022e+10,4.67266e+07,3.83869e+13
3.87e-09,1.81812e+09,1.48248e+06,1.32882e+21,5.71452e+16,2.8377e+10,4.70344e+07,3.85795e+13
3.9e-09,1.82868e+09,1.49244e+06,1.32761e+21,5.71976e+16,2.85519e+10,4.73421e+07,3.87721e+13
3.93e-09,1.83923e+09,1.5024e+06,1.3264e+21,5.725e+16,2.87268e+10,4.76499e+07,3.89647e+13
3.96e-09,1.84978e+09,1.51236e+06,1.3252e+21,5.73023e+16,2.89016e+10,4.79576e+07,3.91573e+13
3.99e-09,1.86034e+09,1.52232e+06,1.32399e+21,5.73547e+16,2.90765e+10,4.82654e+07,3.93499e+13
4.02e-09,1.87089e+09,1.53228e+06,1.32278e+21,5.74071e+16,2.92514e+10,4.85731e+07,3.95425e+13
4.05e-09,1.88144e+09,1.54225e+06,1.32157e+21,5.74595e+16,2.94262e+10,4.88809e+07,3.97351e+13
4.08e-09,1.892e+09,1.55221e+06,1.32036e+21,5.75119e+16,2.96011e+10,4.91886e+07,3.99277e+13
4.11e-09,1.90255e+09,1.56217e+06,1.31915e+21,5.75643e+16,2.9776e+10,4.94964e+07,4.01203e+13
4.14e-09,1.9131e+09,1.57213e+06,1.31794e+21,5.76167e+16,2.99508e+10,4.98042e+07,4.03129e+13
4.17e-09,1.92366e+09,1.58209e+06,1.31674e+21,5.76691e+16,3.01257e+10,5.01119e+07,4.05055e+13
4.2e-09,1.93421e+09,1.59205e+06,1.31553e+21,5.77214e+16,3.03006e+10,5.04197e+07,4.06981e+13
4.23e-09,1.94298e+09,1.60125e+06,1.31406e+21,5.77009e+16,3.04547e+10,5.06999e+07,4.08503e+13
