"arc_length","cb","1","2","3","4","5","6"
0,0,0,0,0,0,0,0
3e-11,5.98263e+19,1.23477e+20,1.57779e+17,1.44608e+15,6.26726e+12,1.55732e+10,7.49145e+09
6e-11,1.19653e+20,2.46954e+20,3.15559e+17,2.89216e+15,1.25345e+13,3.11463e+10,1.49829e+10
9e-11,1.79479e+20,3.70431e+20,4.73338e+17,4.33825e+15,1.88018e+13,4.67195e+10,2.24743e+10
1.2e-10,2.39305e+20,4.93907e+20,6.31117e+17,5.78433e+15,2.5069e+13,6.22926e+10,2.99658e+10
1.5e-10,2.99132e+20,6.17384e+20,7.88897e+17,7.23041e+15,3.13363e+13,7.78658e+10,3.74572e+10
1.8e-10,3.58958e+20,7.40861e+20,9.46676e+17,8.67649e+15,3.76036e+13,9.34389e+10,4.49487e+10
2.1e-10,4.18784e+20,8.64338e+20,1.10446e+18,1.01226e+16,4.38708e+13,1.09012e+11,5.24401e+10
2.4e-10,4.78611e+20,9.87815e+20,1.26223e+18,1.15687e+16,5.01381e+13,1.24585e+11,5.99316e+10
2.7e-10,5.38437e+20,1.11129e+21,1.42001e+18,1.30147e+16,5.64054e+13,1.40158e+11,6.7423e+10
3e-10,5.98263e+20,1.23477e+21,1.57779e+18,1.44608e+16,6.26726e+13,1.55732e+11,7.49145e+10
3.3e-10,6.5809e+20,1.35825e+21,1.73557e+18,1.59069e+16,6.89399e+13,1.71305e+11,8.24059e+10
3.6e-10,7.17916e+20,1.48172e+21,1.89335e+18,1.7353e+16,7.52071e+13,1.86878e+11,8.98974e+10
3.9e-10,7.77742e+20,1.6052e+21,2.05113e+18,1.87991e+16,8.14744e+13,2.02451e+11,9.73888e+10
4.2e-10,8.37569e+20,1.72868e+21,2.20891e+18,2.02452e+16,8.77417e+13,2.18024e+11,1.0488e+11
4.5e-10,8.97395e+20,1.85215e+21,2.36669e+18,2.16912e+16,9.40089e+13,2.33597e+11,1.12372e+11
4.8e-10,9.57222e+20,1.97563e+21,2.52447e+18,2.31373e+16,1.00276e+14,2.4917e+11,1.19863e+11
5.1e-10,1.01705e+21,2.09911e+21,2.68225e+18,2.45834e+16,1.06543e+14,2.64744e+11,1.27355e+11
5.4e-10,1.07687e+21,2.22258e+21,2.84003e+18,2.60295e+16,1.12811e+14,2.80317e+11,1.34846e+11
5.7e-10,1.1367e+21,2.34606e+21,2.99781e+18,2.74756e+16,1.19078e+14,2.9589e+11,1.42338e+11
6e-10,1.19653e+21,2.46954e+21,3.15559e+18,2.89217e+16,1.25345e+14,3.11463e+11,1.49829e+11
6.3e-10,1.39655e+21,2.55805e+21,3.30545e+18,3.03372e+16,1.31507e+14,3.26787e+11,1.57202e+11
6.6e-10,1.59658e+21,2.64656e+21,3.45532e+18,3.17527e+16,1.37669e+14,3.42111e+11,1.64574e+11
6.9e-10,1.79661e+21,2.73507e+21,3.60518e+18,3.31682e+16,1.43831e+14,3.57435e+11,1.71947e+11
7.2e-10,1.99663e+21,2.82358e+21,3.75505e+18,3.45837e+16,1.49993e+14,3.72759e+11,1.79319e+11
7.5e-10,2.19666e+21,2.91209e+21,3.90492e+18,3.59992e+16,1.56155e+14,3.88083e+11,1.86692e+11
7.8e-10,2.39669e+21,3.0006e+21,4.05478e+18,3.74147e+16,1.62317e+14,4.03407e+11,1.94065e+11
