"arc_length","cb","6","5","4","2","3","1"
1.53e-09,7.81293e+21,3.45881e+11,7.28182e+11,2.96444e+14,7.41048e+18,6.91231e+16,4.67047e+21
1.56e-09,8.05592e+21,3.52354e+11,7.41803e+11,3.01976e+14,7.53627e+18,7.03969e+16,4.71233e+21
1.59e-09,8.29891e+21,3.58826e+11,7.55425e+11,3.07508e+14,7.66206e+18,7.16708e+16,4.7542e+21
1.62e-09,8.54191e+21,3.65299e+11,7.69046e+11,3.13041e+14,7.78784e+18,7.29446e+16,4.79606e+21
1.65e-09,8.7849e+21,3.71772e+11,7.82667e+11,3.18573e+14,7.91363e+18,7.42184e+16,4.83792e+21
1.68e-09,9.02789e+21,3.78244e+11,7.96288e+11,3.24106e+14,8.03942e+18,7.54923e+16,4.87979e+21
1.71e-09,9.27088e+21,3.84717e+11,8.09909e+11,3.29638e+14,8.16521e+18,7.67661e+16,4.92165e+21
1.74e-09,9.51387e+21,3.9119e+11,8.2353e+11,3.35171e+14,8.29099e+18,7.80399e+16,4.96352e+21
1.77e-09,9.75686e+21,3.97662e+11,8.37152e+11,3.40703e+14,8.41678e+18,7.93138e+16,5.00538e+21
1.8e-09,9.99985e+21,4.04135e+11,8.50773e+11,3.46235e+14,8.54257e+18,8.05876e+16,5.04725e+21
1.83e-09,1.02284e+22,4.10017e+11,8.63142e+11,3.51237e+14,8.63815e+18,8.17118e+16,5.04664e+21
1.86e-09,1.0457e+22,4.159e+11,8.75511e+11,3.56238e+14,8.73373e+18,8.2836e+16,5.04603e+21
1.89e-09,1.06856e+22,4.21782e+11,8.8788e+11,3.61239e+14,8.82931e+18,8.39602e+16,5.04543e+21
1.92e-09,1.09142e+22,4.27665e+11,9.00249e+11,3.6624e+14,8.92489e+18,8.50844e+16,5.04482e+21
1.95e-09,1.11428e+22,4.33547e+11,9.12618e+11,3.71242e+14,9.02047e+18,8.62086e+16,5.04421e+21
1.98e-09,1.13714e+22,4.3943e+11,9.24987e+11,3.76243e+14,9.11604e+18,8.73328e+16,5.0436e+21
2.01e-09,1.16e+22,4.45312e+11,9.37356e+11,3.81244e+14,9.21162e+18,8.8457e+16,5.043e+21
2.04e-09,1.18286e+22,4.51194e+11,9.49725e+11,3.86245e+14,9.3072e+18,8.95812e+16,5.04239e+21
2.07e-09,1.20572e+22,4.57077e+11,9.62094e+11,3.91246e+14,9.40278e+18,9.07054e+16,5.04178e+21
2.1e-09,1.22858e+22,4.62959e+11,9.74463e+11,3.96248e+14,9.49836e+18,9.18296e+16,5.04117e+21
2.13e-09,1.25144e+22,4.68842e+11,9.86832e+11,4.01249e+14,9.59394e+18,9.29538e+16,5.04056e+21
2.16e-09,1.2743e+22,4.74724e+11,9.99201e+11,4.0625e+14,9.68952e+18,9.4078e+16,5.03996e+21
2.19e-09,1.29716e+22,4.80607e+11,1.01157e+12,4.11251e+14,9.7851e+18,9.52022e+16,5.03935e+21
2.22e-09,1.32002e+22,4.86489e+11,1.02394e+12,4.16252e+14,9.88068e+18,9.63264e+16,5.03874e+21
2.25e-09,1.34288e+22,4.92372e+11,1.03631e+12,4.21254e+14,9.97626e+18,9.74506e+16,5.03813e+21
2.28e-09,1.36574e+22,4.98254e+11,1.04868e+12,4.26255e+14,1.00718e+19,9.85748e+16,5.03753e+21
2.31e-09,1.38859e+22,5.04136e+11,1.06105e+12,4.31256e+14,1.01674e+19,9.9699e+16,5.03692e+21
2.34e-09,1.41145e+22,5.10019e+11,1.07342e+12,4.36257e+14,1.0263e+19,1.00823e+17,5.03631e+21
2.37e-09,1.43431e+22,5.15901e+11,1.08578e+12,4.41259e+14,1.03586e+19,1.01947e+17,5.0357e+21
2.4e-09,1.45717e+22,5.21784e+11,1.09815e+12,4.4626e+14,1.04542e+19,1.03072e+17,5.03509e+21
2.43e-09,1.47495e+22,5.26903e+11,1.10891e+12,4.5058e+14,1.0519e+19,1.04012e+17,5.0082e+21
2.46e-09,1.49274e+22,5.32022e+11,1.11966e+12,4.549e+14,1.05839e+19,1.04952e+17,4.9813e+21
2.49e-09,1.51052e+22,5.37141e+11,1.13041e+12,4.5922e+14,1.06488e+19,1.05892e+17,4.95441e+21
