"cb","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.3769e+14,1,3.45e-09,3.45e-09,0,0
5.4188e+14,1,3.48e-09,3.48e-09,0,0
5.4607e+14,1,3.51e-09,3.51e-09,0,0
5.5026e+14,1,3.54e-09,3.54e-09,0,0
5.5445e+14,1,3.57e-09,3.57e-09,0,0
5.5864e+14,1,3.6e-09,3.6e-09,0,0
5.6207e+14,1,3.63e-09,3.63e-09,0,0
5.6549e+14,1,3.66e-09,3.66e-09,0,0
5.6891e+14,1,3.69e-09,3.69e-09,0,0
5.7233e+14,1,3.72e-09,3.72e-09,0,0
5.7575e+14,1,3.75e-09,3.75e-09,0,0
5.7917e+14,1,3.78e-09,3.78e-09,0,0
5.8259e+14,1,3.81e-09,3.81e-09,0,0
5.8602e+14,1,3.84e-09,3.84e-09,0,0
5.8944e+14,1,3.87e-09,3.87e-09,0,0
5.9286e+14,1,3.9e-09,3.9e-09,0,0
5.9628e+14,1,3.93e-09,3.93e-09,0,0
5.997e+14,1,3.96e-09,3.96e-09,0,0
6.0312e+14,1,3.99e-09,3.99e-09,0,0
6.0655e+14,1,4.02e-09,4.02e-09,0,0
6.0997e+14,1,4.05e-09,4.05e-09,0,0
6.1339e+14,1,4.08e-09,4.08e-09,0,0
6.1681e+14,1,4.11e-09,4.11e-09,0,0
6.2023e+14,1,4.14e-09,4.14e-09,0,0
6.2365e+14,1,4.17e-09,4.17e-09,0,0
6.2708e+14,1,4.2e-09,4.2e-09,0,0
6.2992e+14,1,4.23e-09,4.23e-09,0,0
6.3276e+14,1,4.26e-09,4.26e-09,0,0
6.3561e+14,1,4.29e-09,4.29e-09,0,0
6.3845e+14,1,4.32e-09,4.32e-09,0,0
6.4129e+14,1,4.35e-09,4.35e-09,0,0
6.4413e+14,1,4.38e-09,4.38e-09,0,0
6.4698e+14,1,4.41e-09,4.41e-09,0,0
6.4982e+14,1,4.44e-09,4.44e-09,0,0
6.5266e+14,1,4.47e-09,4.47e-09,0,0
6.5551e+14,1,4.5e-09,4.5e-09,0,0
6.5835e+14,1,4.53e-09,4.53e-09,0,0
6.6119e+14,1,4.56e-09,4.56e-09,0,0
6.6404e+14,1,4.59e-09,4.59e-09,0,0
6.6688e+14,1,4.62e-09,4.62e-09,0,0
6.6972e+14,1,4.65e-09,4.65e-09,0,0
6.7257e+14,1,4.68e-09,4.68e-09,0,0
6.7541e+14,1,4.71e-09,4.71e-09,0,0
6.7825e+14,1,4.74e-09,4.74e-09,0,0
6.811e+14,1,4.77e-09,4.77e-09,0,0
6.8394e+14,1,4.8e-09,4.8e-09,0,0
6.8628e+14,1,4.83e-09,4.83e-09,0,0
6.8863e+14,1,4.86e-09,4.86e-09,0,0
6.9097e+14,1,4.89e-09,4.89e-09,0,0
6.9332e+14,1,4.92e-09,4.92e-09,0,0
6.9566e+14,1,4.95e-09,4.95e-09,0,0
6.9801e+14,1,4.98e-09,4.98e-09,0,0
7.0035e+14,1,5.01e-09,5.01e-09,0,0
7.027e+14,1,5.04e-09,5.04e-09,0,0
7.0504e+14,1,5.07e-09,5.07e-09,0,0
7.0739e+14,1,5.1e-09,5.1e-09,0,0
7.0973e+14,1,5.13e-09,5.13e-09,0,0
7.1208e+14,1,5.16e-09,5.16e-09,0,0
7.1442e+14,1,5.19e-09,5.19e-09,0,0
7.1677e+14,1,5.22e-09,5.22e-09,0,0
7.1911e+14,1,5.25e-09,5.25e-09,0,0
7.2146e+14,1,5.28e-09,5.28e-09,0,0
7.238e+14,1,5.31e-09,5.31e-09,0,0
7.2615e+14,1,5.34e-09,5.34e-09,0,0
7.2849e+14,1,5.37e-09,5.37e-09,0,0
7.3084e+14,1,5.4e-09,5.4e-09,0,0
7.3271e+14,1,5.43e-09,5.43e-09,0,0
7.3459e+14,1,5.46e-09,5.46e-09,0,0
7.3646e+14,1,5.49e-09,5.49e-09,0,0
7.3834e+14,1,5.52e-09,5.52e-09,0,0
7.4021e+14,1,5.55e-09,5.55e-09,0,0
7.4208e+14,1,5.58e-09,5.58e-09,0,0
7.4396e+14,1,5.61e-09,5.61e-09,0,0
7.4583e+14,1,5.64e-09,5.64e-09,0,0
7.4771e+14,1,5.67e-09,5.67e-09,0,0
7.4958e+14,1,5.7e-09,5.7e-09,0,0
7.5146e+14,1,5.73e-09,5.73e-09,0,0
7.5333e+14,1,5.76e-09,5.76e-09,0,0
