"cb","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.0755e+19,1,3.42e-09,3.42e-09,0,0
4.1083e+19,1,3.45e-09,3.45e-09,0,0
4.1411e+19,1,3.48e-09,3.48e-09,0,0
4.1738e+19,1,3.51e-09,3.51e-09,0,0
4.2066e+19,1,3.54e-09,3.54e-09,0,0
4.2394e+19,1,3.57e-09,3.57e-09,0,0
4.2721e+19,1,3.6e-09,3.6e-09,0,0
4.2996e+19,1,3.63e-09,3.63e-09,0,0
4.327e+19,1,3.66e-09,3.66e-09,0,0
4.3545e+19,1,3.69e-09,3.69e-09,0,0
4.3819e+19,1,3.72e-09,3.72e-09,0,0
4.4094e+19,1,3.75e-09,3.75e-09,0,0
4.4368e+19,1,3.78e-09,3.78e-09,0,0
4.4642e+19,1,3.81e-09,3.81e-09,0,0
4.4917e+19,1,3.84e-09,3.84e-09,0,0
4.5191e+19,1,3.87e-09,3.87e-09,0,0
4.5466e+19,1,3.9e-09,3.9e-09,0,0
4.574e+19,1,3.93e-09,3.93e-09,0,0
4.6015e+19,1,3.96e-09,3.96e-09,0,0
4.6289e+19,1,3.99e-09,3.99e-09,0,0
4.6564e+19,1,4.02e-09,4.02e-09,0,0
4.6838e+19,1,4.05e-09,4.05e-09,0,0
4.7113e+19,1,4.08e-09,4.08e-09,0,0
4.7387e+19,1,4.11e-09,4.11e-09,0,0
4.7661e+19,1,4.14e-09,4.14e-09,0,0
4.7936e+19,1,4.17e-09,4.17e-09,0,0
4.821e+19,1,4.2e-09,4.2e-09,0,0
4.8446e+19,1,4.23e-09,4.23e-09,0,0
4.8682e+19,1,4.26e-09,4.26e-09,0,0
4.8918e+19,1,4.29e-09,4.29e-09,0,0
4.9153e+19,1,4.32e-09,4.32e-09,0,0
4.9389e+19,1,4.35e-09,4.35e-09,0,0
4.9625e+19,1,4.38e-09,4.38e-09,0,0
4.986e+19,1,4.41e-09,4.41e-09,0,0
5.0096e+19,1,4.44e-09,4.44e-09,0,0
5.0332e+19,1,4.47e-09,4.47e-09,0,0
5.0568e+19,1,4.5e-09,4.5e-09,0,0
5.0803e+19,1,4.53e-09,4.53e-09,0,0
5.1039e+19,1,4.56e-09,4.56e-09,0,0
5.1275e+19,1,4.59e-09,4.59e-09,0,0
5.1511e+19,1,4.62e-09,4.62e-09,0,0
5.1746e+19,1,4.65e-09,4.65e-09,0,0
5.1982e+19,1,4.68e-09,4.68e-09,0,0
5.2218e+19,1,4.71e-09,4.71e-09,0,0
5.2454e+19,1,4.74e-09,4.74e-09,0,0
5.2689e+19,1,4.77e-09,4.77e-09,0,0
5.2925e+19,1,4.8e-09,4.8e-09,0,0
5.3128e+19,1,4.83e-09,4.83e-09,0,0
5.3331e+19,1,4.86e-09,4.86e-09,0,0
5.3534e+19,1,4.89e-09,4.89e-09,0,0
5.3737e+19,1,4.92e-09,4.92e-09,0,0
5.394e+19,1,4.95e-09,4.95e-09,0,0
5.4143e+19,1,4.98e-09,4.98e-09,0,0
5.4346e+19,1,5.01e-09,5.01e-09,0,0
5.4548e+19,1,5.04e-09,5.04e-09,0,0
5.4751e+19,1,5.07e-09,5.07e-09,0,0
5.4954e+19,1,5.1e-09,5.1e-09,0,0
5.5157e+19,1,5.13e-09,5.13e-09,0,0
5.536e+19,1,5.16e-09,5.16e-09,0,0
5.5563e+19,1,5.19e-09,5.19e-09,0,0
5.5766e+19,1,5.22e-09,5.22e-09,0,0
5.5969e+19,1,5.25e-09,5.25e-09,0,0
5.6172e+19,1,5.28e-09,5.28e-09,0,0
5.6375e+19,1,5.31e-09,5.31e-09,0,0
5.6578e+19,1,5.34e-09,5.34e-09,0,0
5.6781e+19,1,5.37e-09,5.37e-09,0,0
5.6984e+19,1,5.4e-09,5.4e-09,0,0
5.7156e+19,1,5.43e-09,5.43e-09,0,0
5.7327e+19,1,5.46e-09,5.46e-09,0,0
5.7499e+19,1,5.49e-09,5.49e-09,0,0
5.7671e+19,1,5.52e-09,5.52e-09,0,0
5.7843e+19,1,5.55e-09,5.55e-09,0,0
5.8015e+19,1,5.58e-09,5.58e-09,0,0
5.8187e+19,1,5.61e-09,5.61e-09,0,0
5.8358e+19,1,5.64e-09,5.64e-09,0,0
5.853e+19,1,5.67e-09,5.67e-09,0,0
5.8702e+19,1,5.7e-09,5.7e-09,0,0
5.8874e+19,1,5.73e-09,5.73e-09,0,0
5.9046e+19,1,5.76e-09,5.76e-09,0,0
5.9218e+19,1,5.79e-09,5.79e-09,0,0
5.9389e+19,1,5.82e-09,5.82e-09,0,0
5.9561e+19,1,5.85e-09,5.85e-09,0,0
5.9733e+19,1,5.88e-09,5.88e-09,0,0
5.9905e+19,1,5.91e-09,5.91e-09,0,0
6.0077e+19,1,5.94e-09,5.94e-09,0,0
6.0249e+19,1,5.97e-09,5.97e-09,0,0
6.0421e+19,1,6e-09,6e-09,0,0
6.0562e+19,1,6.03e-09,6.03e-09,0,0
6.0703e+19,1,6.06e-09,6.06e-09,0,0
6.0845e+19,1,6.09e-09,6.09e-09,0,0
6.0986e+19,1,6.12e-09,6.12e-09,0,0
6.1128e+19,1,6.15e-09,6.15e-09,0,0
6.1269e+19,1,6.18e-09,6.18e-09,0,0
6.141e+19,1,6.21e-09,6.21e-09,0,0
6.1552e+19,1,6.24e-09,6.24e-09,0,0
6.1693e+19,1,6.27e-09,6.27e-09,0,0
6.1835e+19,1,6.3e-09,6.3e-09,0,0
6.1976e+19,1,6.33e-09,6.33e-09,0,0
6.2118e+19,1,6.36e-09,6.36e-09,0,0
6.2259e+19,1,6.39e-09,6.39e-09,0,0
6.24e+19,1,6.42e-09,6.42e-09,0,0
6.2542e+19,1,6.45e-09,6.45e-09,0,0
6.2683e+19,1,6.48e-09,6.48e-09,0,0
6.2825e+19,1,6.51e-09,6.51e-09,0,0
6.2966e+19,1,6.54e-09,6.54e-09,0,0
6.3107e+19,1,6.57e-09,6.57e-09,0,0
6.3249e+19,1,6.6e-09,6.6e-09,0,0
6.3361e+19,1,6.63e-09,6.63e-09,0,0
6.3472e+19,1,6.66e-09,6.66e-09,0,0
6.3584e+19,1,6.69e-09,6.69e-09,0,0
6.3696e+19,1,6.72e-09,6.72e-09,0,0
6.3807e+19,1,6.75e-09,6.75e-09,0,0
6.3919e+19,1,6.78e-09,6.78e-09,0,0
6.4031e+19,1,6.81e-09,6.81e-09,0,0
6.4142e+19,1,6.84e-09,6.84e-09,0,0
6.4254e+19,1,6.87e-09,6.87e-09,0,0
6.4366e+19,1,6.9e-09,6.9e-09,0,0
