t(s),inventory(He/m2),flux_surface_left(He/m2/s),max_ib(He),x_max_ib(m),mean_ib(He),total_bubbles
1e-06,1.9356658052882484e-12,-1.4470834958729806e+19,7.00000000053,1.953125e-08,7.000000000325523,2.7652368645689054e-13
2.1000000000000002e-06,4.8079407753921036e-11,-1.4641274584754446e+19,7.00000001213,2.83203125e-08,7.000000007712973,6.868486814420654e-12
3.3100000000000005e-06,4.365553572031322e-10,-1.4686088035506022e+19,7.00000011118,3.515625e-08,7.000000071457718,6.236505039238115e-11
4.641000000000001e-06,2.5212935613437626e-09,-1.4708974695573572e+19,7.00000066293,4.1015625e-08,7.0000004285332045,3.6018477242751825e-10
6.105100000000001e-06,1.1170644848453301e-08,-1.4723564614479696e+19,7.00000302953,4.58984375e-08,7.000001968400666,1.595805958181113e-09
7.715610000000002e-06,4.151570494653936e-08,-1.473396902027829e+19,7.0000113088,5.078125e-08,7.00000740719655,5.930808716553356e-09
9.487171000000002e-06,1.3611631844772233e-07,-1.4741909221168548e+19,7.00003474163,5.46875e-08,7.0000231174153935,1.94451241323872e-08
1.1435888100000002e-05,4.0629350200319603e-07,-1.4748249944877257e+19,7.00008562165,5.6640625e-08,7.000058505132487,5.8041443754405635e-08
1.3579476910000003e-05,1.1275941518032958e-06,-1.4753479879247573e+19,7.00016717432,5.46875e-08,7.000117876452953,1.610821662869857e-07
1.5937424601000003e-05,2.9532054833850693e-06,-1.4757899058219706e+19,7.00026831896,4.98046875e-08,7.000193815730343,4.218748167727633e-07
1.8531167061100006e-05,7.378692760948102e-06,-1.476170341112362e+19,7.00037677558,4.39453125e-08,7.000275043299311,1.0540575499259866e-06
2.1384283767210007e-05,1.773247345670891e-05,-1.4765027149365058e+19,7.00048718732,3.61328125e-08,7.000355276246389,2.5330819304098397e-06
2.452271214393101e-05,4.124920432630299e-05,-1.4767965786318668e+19,7.00059905212,3.02734375e-08,7.000433442423949,5.892378617061769e-06
2.7974983358324114e-05,9.334467531129945e-05,-1.4770589452770404e+19,7.00071369997,2.44140625e-08,7.000510929633957,1.3333980369370021e-05
3.177248169415653e-05,0.00020631611176580989,-1.477295100227863e+19,7.00083291346,1.953125e-08,7.000589768731265,2.947124722081824e-05
3.5949729863572185e-05,0.0004468518184766886,-1.4775091157763926e+19,7.00095851204,1.5625e-08,7.000671917892312,6.382984715147485e-05
4.0544702849929404e-05,0.0009509276895077067,-1.4777041897522538e+19,7.00109225662,1.26953125e-08,7.000759090023,0.0001358320829612468
4.559917313492235e-05,0.001992762158476033,-1.477882875146364e+19,7.00123583103,9.765625e-09,7.000852774670989,0.0002846456314130509
5.115909044841459e-05,0.0041200412382037385,-1.4780472399586589e+19,7.00139097628,7.8125e-09,7.000954308704018,0.00058849709004406
5.727499949325605e-05,0.008417318575238425,-1.478198981041534e+19,7.00155937974,6.4697265625e-09,7.001064946579664,0.0012022911713382497
6.400249944258165e-05,0.01701598340532343,-1.4783395068257233e+19,7.0017428212,5.37109375e-09,7.001185917908536,0.0024304430142038868
7.140274938683982e-05,0.034076215736801876,-1.4784699985191627e+19,7.00194290906,4.8828125e-09,7.00131847210898,0.00486711408323313
7.954302432552381e-05,0.067668362547922,-1.4785914561140015e+19,7.00216143902,4.638671875e-09,7.001463913040585,0.009664887713251826
8.84973267580762e-05,0.1333611186221045,-1.4787047334794846e+19,7.00240065912,4.638671875e-09,7.00162362668039,0.019047170446854438
9.834705943388383e-05,0.26103609061604416,-1.4788105654845395e+19,7.00266303015,4.5166015625e-09,7.00179910432387,0.03728128824130997
