"arc_length","6","cb","4","5","1","2","3"
0,0,0,0,0,0,0,0
3e-11,4.48595e+07,8.80937e+15,1.00449e+11,2.74523e+08,4.0703e+19,9.14034e+15,2.77908e+13
6e-11,8.9719e+07,1.76187e+16,2.00898e+11,5.49047e+08,8.14059e+19,1.82807e+16,5.55817e+13
9e-11,1.34578e+08,2.64281e+16,3.01347e+11,8.2357e+08,1.22109e+20,2.7421e+16,8.33725e+13
1.2e-10,1.79438e+08,3.52375e+16,4.01796e+11,1.09809e+09,1.62812e+20,3.65614e+16,1.11163e+14
1.5e-10,2.24297e+08,4.40469e+16,5.02246e+11,1.37262e+09,2.03515e+20,4.57017e+16,1.38954e+14
1.8e-10,2.69157e+08,5.28562e+16,6.02695e+11,1.64714e+09,2.44218e+20,5.4842e+16,1.66745e+14
2.1e-10,3.14016e+08,6.16656e+16,7.03144e+11,1.92166e+09,2.84921e+20,6.39824e+16,1.94536e+14
2.4e-10,3.58876e+08,7.0475e+16,8.03593e+11,2.19619e+09,3.25624e+20,7.31227e+16,2.22327e+14
2.7e-10,4.03735e+08,7.92844e+16,9.04042e+11,2.47071e+09,3.66327e+20,8.22631e+16,2.50117e+14
3e-10,4.48595e+08,8.80937e+16,1.00449e+12,2.74523e+09,4.0703e+20,9.14034e+16,2.77908e+14
3.3e-10,4.93454e+08,9.69031e+16,1.10494e+12,3.01976e+09,4.47732e+20,1.00544e+17,3.05699e+14
3.6e-10,5.38314e+08,1.05712e+17,1.20539e+12,3.29428e+09,4.88435e+20,1.09684e+17,3.3349e+14
3.9e-10,5.83173e+08,1.14522e+17,1.30584e+12,3.5688e+09,5.29138e+20,1.18824e+17,3.61281e+14
4.2e-10,6.28033e+08,1.23331e+17,1.40629e+12,3.84333e+09,5.69841e+20,1.27965e+17,3.89072e+14
4.5e-10,6.72892e+08,1.32141e+17,1.50674e+12,4.11785e+09,6.10544e+20,1.37105e+17,4.16862e+14
4.8e-10,7.17752e+08,1.4095e+17,1.60719e+12,4.39237e+09,6.51247e+20,1.46245e+17,4.44653e+14
5.1e-10,7.62611e+08,1.49759e+17,1.70763e+12,4.6669e+09,6.9195e+20,1.55386e+17,4.72444e+14
5.4e-10,8.07471e+08,1.58569e+17,1.80808e+12,4.94142e+09,7.32653e+20,1.64526e+17,5.00235e+14
5.7e-10,8.5233e+08,1.67378e+17,1.90853e+12,5.21594e+09,7.73356e+20,1.73666e+17,5.28026e+14
6e-10,8.9719e+08,1.76187e+17,2.00898e+12,5.49047e+09,8.14059e+20,1.82807e+17,5.55817e+14
6.3e-10,9.41912e+08,2.06077e+17,2.10909e+12,5.76494e+09,8.46973e+20,1.91847e+17,5.83446e+14
6.6e-10,9.86635e+08,2.35967e+17,2.2092e+12,6.03941e+09,8.79888e+20,2.00888e+17,6.11076e+14
6.9e-10,1.03136e+09,2.65857e+17,2.3093e+12,6.31388e+09,9.12802e+20,2.09928e+17,6.38706e+14
7.2e-10,1.07608e+09,2.95747e+17,2.40941e+12,6.58835e+09,9.45716e+20,2.18969e+17,6.66336e+14
7.5e-10,1.1208e+09,3.25637e+17,2.50951e+12,6.86282e+09,9.7863e+20,2.28009e+17,6.93966e+14
7.8e-10,1.16552e+09,3.55527e+17,2.60962e+12,7.13728e+09,1.01154e+21,2.3705e+17,7.21596e+14
8.1e-10,1.21025e+09,3.85417e+17,2.70973e+12,7.41175e+09,1.04446e+21,2.4609e+17,7.49225e+14
8.4e-10,1.25497e+09,4.15307e+17,2.80983e+12,7.68622e+09,1.07737e+21,2.55131e+17,7.76855e+14
8.7e-10,1.29969e+09,4.45197e+17,2.90994e+12,7.96069e+09,1.11029e+21,2.64171e+17,8.04485e+14
9e-10,1.34441e+09,4.75087e+17,3.01005e+12,8.23516e+09,1.1432e+21,2.73212e+17,8.32115e+14
9.3e-10,1.38914e+09,5.04977e+17,3.11015e+12,8.50963e+09,1.17612e+21,2.82252e+17,8.59745e+14
9.6e-10,1.43386e+09,5.34867e+17,3.21026e+12,8.7841e+09,1.20903e+21,2.91293e+17,8.87374e+14
9.9e-10,1.47858e+09,5.64757e+17,3.31037e+12,9.05857e+09,1.24194e+21,3.00333e+17,9.15004e+14
1.02e-09,1.5233e+09,5.94647e+17,3.41047e+12,9.33304e+09,1.27486e+21,3.09374e+17,9.42634e+14
1.05e-09,1.56803e+09,6.24537e+17,3.51058e+12,9.60751e+09,1.30777e+21,3.18414e+17,9.70264e+14
1.08e-09,1.61275e+09,6.54427e+17,3.61069e+12,9.88198e+09,1.34069e+21,3.27454e+17,9.97894e+14
1.11e-09,1.65747e+09,6.84316e+17,3.71079e+12,1.01564e+10,1.3736e+21,3.36495e+17,1.02552e+15
1.14e-09,1.70219e+09,7.14206e+17,3.8109e+12,1.04309e+10,1.40652e+21,3.45535e+17,1.05315e+15
1.17e-09,1.74692e+09,7.44096e+17,3.91101e+12,1.07054e+10,1.43943e+21,3.54576e+17,1.08078e+15
1.2e-09,1.79164e+09,7.73986e+17,4.01111e+12,1.09799e+10,1.47234e+21,3.63616e+17,1.10841e+15
1.23e-09,1.83592e+09,8.11917e+17,4.11011e+12,1.12521e+10,1.49451e+21,3.72067e+17,1.1355e+15
1.26e-09,1.88019e+09,8.49848e+17,4.2091e+12,1.15243e+10,1.51669e+21,3.80517e+17,1.16258e+15
1.29e-09,1.92447e+09,8.87779e+17,4.3081e+12,1.17965e+10,1.53886e+21,3.88968e+17,1.18966e+15
1.32e-09,1.96875e+09,9.2571e+17,4.40709e+12,1.20688e+10,1.56103e+21,3.97418e+17,1.21675e+15
1.35e-09,2.01302e+09,9.63641e+17,4.50608e+12,1.2341e+10,1.5832e+21,4.05869e+17,1.24383e+15
1.38e-09,2.0573e+09,1.00157e+18,4.60508e+12,1.26132e+10,1.60537e+21,4.14319e+17,1.27092e+15
1.41e-09,2.10158e+09,1.0395e+18,4.70407e+12,1.28855e+10,1.62754e+21,4.2277e+17,1.298e+15
1.44e-09,2.14585e+09,1.07743e+18,4.80307e+12,1.31577e+10,1.64971e+21,4.3122e+17,1.32508e+15
1.47e-09,2.19013e+09,1.11537e+18,4.90206e+12,1.34299e+10,1.67188e+21,4.39671e+17,1.35217e+15
1.5e-09,2.23441e+09,1.1533e+18,5.00105e+12,1.37021e+10,1.69405e+21,4.48122e+17,1.37925e+15
1.53e-09,2.27868e+09,1.19123e+18,5.10005e+12,1.39744e+10,1.71622e+21,4.56572e+17,1.40634e+15
1.56e-09,2.32296e+09,1.22916e+18,5.19904e+12,1.42466e+10,1.73839e+21,4.65023e+17,1.43342e+15
1.59e-09,2.36724e+09,1.26709e+18,5.29804e+12,1.45188e+10,1.76056e+21,4.73473e+17,1.4605e+15
1.62e-09,2.41151e+09,1.30502e+18,5.39703e+12,1.47911e+10,1.78273e+21,4.81924e+17,1.48759e+15
1.65e-09,2.45579e+09,1.34295e+18,5.49603e+12,1.50633e+10,1.8049e+21,4.90374e+17,1.51467e+15
1.68e-09,2.50007e+09,1.38088e+18,5.59502e+12,1.53355e+10,1.82707e+21,4.98825e+17,1.54176e+15
