t(s),inventory(He/m2),flux_surface_left(He/m2/s),max_ib(He),x_max_ib(m),mean_ib(He),total_bubbles
1e-06,2.4540447863298457e-27,-1.0787083394807589e+17,7.0,9.65e-05,6.999999999999989,3.505778266185499e-28
2.1000000000000002e-06,2.3749806953074363e-26,-1.0913556637534187e+17,7.0,9.65e-05,7.000000000000019,3.3928295647249e-27
3.3100000000000005e-06,2.6644575987201673e-25,-1.0946817398432208e+17,7.0,9.65e-05,7.000000000000018,3.806367998171658e-26
4.641000000000001e-06,1.8716596399014154e-24,-1.0963810548041538e+17,7.0,9.65e-05,6.999999999999999,2.673799485573451e-25
6.105100000000001e-06,9.456348484302551e-24,-1.0974648040282496e+17,7.0,9.65e-05,6.999999999999994,1.3509069263289371e-24
7.715610000000002e-06,3.84316861201081e-23,-1.0982380106949806e+17,7.0,9.65e-05,6.9999999999999964,5.49024087430116e-24
9.487171000000002e-06,1.3424100117755357e-22,-1.0988283911798888e+17,7.0,9.65e-05,7.000000000000034,1.917728588250756e-23
1.1435888100000002e-05,4.197749147055564e-22,-1.0993001102081813e+17,7.0,9.65e-05,6.999999999999992,5.99678449579367e-23
1.3579476910000003e-05,1.2068307279700146e-21,-1.0996894322249106e+17,7.0,9.65e-05,6.9999999999999964,1.7240438971000216e-22
1.5937424601000003e-05,3.24878472478004e-21,-1.1000186240188395e+17,7.0,9.65e-05,7.000000000000016,4.641121035400047e-22
1.8531167061100006e-05,8.297192619435796e-21,-1.100302227833997e+17,7.0,9.65e-05,6.99999999999997,1.185313231347976e-21
2.1384283767210007e-05,2.029978627414994e-20,-1.1005502063332309e+17,7.0,9.65e-05,6.999999999999975,2.899969467735716e-21
2.452271214393101e-05,4.793019310706124e-20,-1.1007696506552045e+17,7.0,9.65e-05,7.000000000000026,6.847170443865866e-21
2.7974983358324114e-05,1.098452015062626e-19,-1.100965768438042e+17,7.0,9.65e-05,6.999999999999994,1.5692171643751814e-20
3.177248169415653e-05,2.4546409361836116e-19,-1.1011424852652021e+17,7.0,9.65e-05,7.000000000000003,3.50662990883373e-20
3.5949729863572185e-05,5.368174620267459e-19,-1.1013028265709274e+17,7.0,9.65e-05,6.999999999999991,7.66882088609638e-20
4.0544702849929404e-05,1.1523969673199857e-18,-1.1014491689078618e+17,7.0,9.65e-05,7.000000000000027,1.6462813818856875e-19
4.559917313492235e-05,2.434409456273887e-18,-1.101583410349241e+17,7.0,9.65e-05,7.000000000000009,3.477727794676977e-19
5.115909044841459e-05,5.0711083600656985e-18,-1.1017070891132594e+17,7.0,9.65e-05,7.000000000000002,7.244440514379568e-19
5.727499949325605e-05,1.0434941698436032e-17,-1.1018214680485731e+17,7.0,9.65e-05,6.999999999999984,1.4907059569194366e-18
6.400249944258165e-05,2.1242266849637607e-17,-1.1019275960273624e+17,7.0,9.65e-05,7.000000000000006,3.034609549948227e-18
7.140274938683982e-05,4.283392780512492e-17,-1.1020263533625962e+17,7.0,9.65e-05,6.999999999999972,6.119132543589299e-18
7.954302432552381e-05,8.564987133568233e-17,-1.1021184859505186e+17,7.0,9.65e-05,7.000000000000019,1.2235695905097444e-17
8.84973267580762e-05,1.6999214828575551e-16,-1.1022046313126058e+17,7.0,9.65e-05,7.000000000000008,2.428459261225076e-17
9.834705943388383e-05,3.3516003291133747e-16,-1.1022853387212854e+17,7.0,2.5e-07,7.000000000000009,4.7880004701619575e-17
0.00010918176537727222,6.569152545963588e-16,-1.1023610849372038e+17,7.0,2.5e-07,7.000000000000015,9.38450363709082e-17
