"ib","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2623e+07,1,2.32e-08,2.32e-08,0,0
1.2605e+07,1,2.34e-08,2.34e-08,0,0
1.2586e+07,1,2.36e-08,2.36e-08,0,0
1.2568e+07,1,2.38e-08,2.38e-08,0,0
1.255e+07,1,2.4e-08,2.4e-08,0,0
1.2531e+07,1,2.42e-08,2.42e-08,0,0
1.2513e+07,1,2.44e-08,2.44e-08,0,0
1.2495e+07,1,2.46e-08,2.46e-08,0,0
1.2477e+07,1,2.48e-08,2.48e-08,0,0
1.2458e+07,1,2.5e-08,2.5e-08,0,0
1.244e+07,1,2.52e-08,2.52e-08,0,0
1.2422e+07,1,2.54e-08,2.54e-08,0,0
1.2404e+07,1,2.56e-08,2.56e-08,0,0
1.2386e+07,1,2.58e-08,2.58e-08,0,0
1.2368e+07,1,2.6e-08,2.6e-08,0,0
1.235e+07,1,2.62e-08,2.62e-08,0,0
1.2332e+07,1,2.64e-08,2.64e-08,0,0
1.2314e+07,1,2.66e-08,2.66e-08,0,0
1.2296e+07,1,2.68e-08,2.68e-08,0,0
1.2278e+07,1,2.7e-08,2.7e-08,0,0
1.226e+07,1,2.72e-08,2.72e-08,0,0
1.2242e+07,1,2.74e-08,2.74e-08,0,0
1.2224e+07,1,2.76e-08,2.76e-08,0,0
1.2206e+07,1,2.78e-08,2.78e-08,0,0
1.2188e+07,1,2.8e-08,2.8e-08,0,0
1.2171e+07,1,2.82e-08,2.82e-08,0,0
1.2153e+07,1,2.84e-08,2.84e-08,0,0
1.2135e+07,1,2.86e-08,2.86e-08,0,0
1.2117e+07,1,2.88e-08,2.88e-08,0,0
1.21e+07,1,2.9e-08,2.9e-08,0,0
1.2082e+07,1,2.92e-08,2.92e-08,0,0
1.2064e+07,1,2.94e-08,2.94e-08,0,0
1.2047e+07,1,2.96e-08,2.96e-08,0,0
1.2029e+07,1,2.98e-08,2.98e-08,0,0
1.2012e+07,1,3e-08,3e-08,0,0
1.1994e+07,1,3.02e-08,3.02e-08,0,0
1.1976e+07,1,3.04e-08,3.04e-08,0,0
1.1959e+07,1,3.06e-08,3.06e-08,0,0
1.1941e+07,1,3.08e-08,3.08e-08,0,0
1.1924e+07,1,3.1e-08,3.1e-08,0,0
1.1906e+07,1,3.12e-08,3.12e-08,0,0
1.1889e+07,1,3.14e-08,3.14e-08,0,0
1.1872e+07,1,3.16e-08,3.16e-08,0,0
1.1854e+07,1,3.18e-08,3.18e-08,0,0
1.1837e+07,1,3.2e-08,3.2e-08,0,0
1.182e+07,1,3.22e-08,3.22e-08,0,0
1.1802e+07,1,3.24e-08,3.24e-08,0,0
1.1785e+07,1,3.26e-08,3.26e-08,0,0
1.1768e+07,1,3.28e-08,3.28e-08,0,0
1.1751e+07,1,3.3e-08,3.3e-08,0,0
1.1733e+07,1,3.32e-08,3.32e-08,0,0
