XHe1_500,YHe1_500,XHe1_1000,YHe1_1000,XHe1_1500,YHe1_1500,XHe2_500,YHe2_500,XHe2_1000,YHe2_1000,XHe2_1500,YHe2_1500,XHe3_500,YHe3_500,XHe3_1000,YHe3_1000,XHe3_1500,YHe3_1500,XHe4_500,YHe4_500,XHe4_1000,YHe4_1000,XHe4_1500,YHe4_1500,XHe5_500,YHe5_500,XHe5_1000,YHe5_1000,XHe5_1500,YHe5_1500,XHe6_500,YHe6_500,XHe6_1000,YHe6_1000,XHe6_1500,YHe6_1500,Xcb_500,Ycb_500,Xcb_1000,Ycb_1000,Xcb_1500,Ycb_1500
1.9594133167778985e-8,69185141905271060000,2.131435833586003e-8,717698099481860400000,2.0489900716723325e-8,509309043458739500000,2.0279421465155986e-8,4955836280536647000,2.0562040758397787e-8,289846186434816830,2.298159485455871e-8,1235923892243935.5,2.002705039799561e-8,67494794665534950,2.043101088678499e-8,3768989455190421,1.9799417460696334e-8,477333914424.6287,2.0041808939934813e-8,441836262312751.1,1.9912780383327633e-8,23756876130258.465,2.0428066395288072e-8,1674351123.2655625,2.1136892751823686e-8,1270018287330.0515,1.9005877002277257e-8,200511421881.69913,,,1.9153344715194787e-8,2548095861051.5107,1.9005877002277257e-8,2482120972.309618,,,2.28961109509767e-8,9.953662377401373e+21,2.7126784550773813e-8,8288719536912560000,2.371559115159569e-8,1052868074599005.6
2.0641005742666462e-8,59676506033125310000,2.219770578493508e-8,670530724098753400000,2.1365886937056076e-8,429470556663957900000,2.1209209607325782e-8,4580796028475005000,2.1506731780325263e-8,259114692866316500,2.3837198650418353e-8,1025609318731559,2.107261110248849e-8,60167570557896200,2.1396804097773705e-8,3541294687864230,2.072693228222513e-8,395530185958.46277,2.1062509700450104e-8,397826181177588.4,2.084441749295211e-8,22578131707804.02,2.1283441175142406e-8,1588775522.0461173,2.2046018935278597e-8,1100707178747.0227,1.9912780383327633e-8,181586925511.80865,,,2.0062470898649698e-8,2250933563244.3555,1.9912780383327633e-8,2076465740.1935022,,,2.35997982306379e-8,7.691584775514945e+21,2.8239802336608365e-8,4675708949897144000,2.4682856608332863e-8,705081171409071.4
2.1550131926121373e-8,53222203042084995000,2.312816509796079e-8,582810355481522730000,2.222126171691041e-8,412900488653953700000,2.213899774949558e-8,3862717628089008600,2.2492154934626755e-8,203351605718746940,2.4749598415596313e-8,802891084680722.5,2.1892530099110887e-8,53635788726800550,2.2441117082013535e-8,2945107309491954,2.1788421466863638e-8,293812530122.282,2.237661027471675e-8,331092519661985.8,2.1922395829973356e-8,19971376886798.773,2.2262484597867244e-8,1322265139.0475402,2.295514511873351e-8,1010157036965.5743,2.081968376437801e-8,158054992303.87427,,,2.0971597082104612e-8,2026724331911.2341,2.081968376437801e-8,1807375589.7375987,,,2.471141160949868e-8,5.748633796551329e+21,2.89323467366832e-8,2846816611165567500,2.5711465637922463e-8,537006224504693.6
2.2459258109576284e-8,46569032673246770000,2.4035068479011162e-8,502279494009324440000,2.325183374083129e-8,338272120241027740000,2.3058454912307933e-8,3523878821491565000,2.3530088187289934e-8,163503711516777570,2.5683983717284574e-8,618624436338168.5,2.2903490221946297e-8,48353637698196620,2.3375502383701796e-8,2593270357193137,2.276746488958848e-8,200856702997.46936,2.335460965388794e-8,306036602759034.94,2.2880827812219777e-8,18153819441418.2,2.3210610859874456e-8,1159734438.51754,2.3864271302188425e-8,842714638216.8281,2.1726587145428388e-8,156495827857.1146,,,2.1880723265559523e-8,1969550162535.484,2.1726587145428388e-8,1497079226.997395,,,2.5723847586528017e-8,3.7290367433991033e+21,2.9806271812968114e-8,803495680322520600,2.6719136061311775e-8,170318932014770.8
2.3368384293031198e-8,39598063818021520000,2.494197186006154e-8,411126314406056950000,2.4282405764752175e-8,301398724821750640000,2.404793315743184e-8,3095236656843575000,2.4447297288579515e-8,138831374259737230,2.654966421737812e-8,413103934289604.4,2.3809172745615396e-8,42410086457087200,2.436485152666585e-8,2215332473998837.5,2.3740619329319486e-8,160313238354.9822,2.4206669475177936e-8,259517424388891.3,2.3859871234944614e-8,14999888124714.504,2.3883917915502767e-8,1044216516.8620577,2.4773397485643333e-8,730369051512.2509,2.2715936288392437e-8,129628094086.77745,,,2.2789849449014438e-8,1739858626635.4268,2.2633490526478764e-8,1316054519.0268047,,,2.6830410264369605e-8,2.0457212974938383e+21,,,2.7506951119597956e-8,265253503085831.97
2.4246517538413787e-8,35909789933420212000,2.579940778396371e-8,352915945865794800000,2.510686338388888e-8,264351279163900330000,2.5021340990221947e-8,2572272526696009000,2.5560315074414068e-8,101929752441418370,2.7506951119597956e-8,265253503085831.97,2.475273552692845e-8,35761947824842380,2.5283532873703894e-8,1899037425081570.8,2.4682856608332863e-8,107492217809.01451,2.5176305680583583e-8,235425436181843.8,2.500609634154995e-8,13167979346671.465,2.4911054699343916e-8,880526773.5458502,2.5682523669098247e-8,615143658887.849,2.362283966944281e-8,125829587630.19998,,,2.3698975632469345e-8,1551684494395.7183,2.3540393907529143e-8,1068708698.8537527,,,2.7707395623156913e-8,1.0773960607091871e+21,,,2.8413854500648335e-8,151576480612334.9
2.518663665994102e-8,29743878613246240000,2.6755778622162293e-8,275376764154512540000,2.6068730606215038e-8,205143972250853600000,2.598212207046407e-8,2058187749642983700,2.634354981259394e-8,83839300193588640,2.8413854500648335e-8,151576480612334.9,2.5773436287443743e-8,29068617297512324,2.6209575449484225e-8,1503307483906874.5,2.557798202339557e-8,78857488574.12787,2.6426354182834088e-8,149041467436700.94,2.5962238163743212e-8,11265955523711.32,2.5872431173087252e-8,691470144.5905137,2.6591649852553162e-8,475475162400.3906,2.452974305049319e-8,104226737847.09573,,,2.460810181592426e-8,1306885711197.353,2.4447297288579515e-8,825881118.7609376,,,2.8872730094676396e-8,267818132380626500000,,,2.9424960164117382e-8,35338597113975.43
2.6095762843395934e-8,23884660037803350000,2.7637948274638567e-8,195851682697544400000,2.7003115907903306e-8,160595524424352100000,2.68705862952041e-8,1625387813315907300,2.743890064944699e-8,54944934877482610,2.9424960164117382e-8,35338597113975.43,2.6692663872937042e-8,23953927910859370,2.711304359045487e-8,1165577523020756.2,2.6590887098334953e-8,51345500186.75454,2.752832531429458e-8,110989718464268.66,2.687355828203897e-8,8935688946070.475,2.6696888792223958e-8,535930287.8260637,2.750077603600807e-8,353760174296.5585,2.5436646431543568e-8,89825022249.01239,,,2.5517227999379174e-8,1165539695563.554,2.5354200669629894e-8,631931895.8886132,,,2.956697190749651e-8,45471664748389610000,,,3.001238621775228e-8,14036245153154.86
2.700488902685085e-8,18461642977649807000,2.856958538426305e-8,130437867059736400000,2.78550554476779e-8,110589501037038900000,2.7717726602514357e-8,1202123292930782200,2.8404693860435705e-8,31420108997551350,3.001238621775228e-8,14036245153154.86,2.768673366444203e-8,16280254866322058,2.8145578608707026e-8,769346769234528.8,2.7487484759146124e-8,31604608146.162918,2.832725438460345e-8,78232900419138.81,2.778635064608318e-8,5936467031148.412,2.774512776512634e-8,355183536.8127537,2.8409902219462984e-8,234735893389.83295,2.634354981259394e-8,70106934992.64418,,,2.6426354182834088e-8,900903663762.2488,2.6261104050680274e-8,474036853.7841929,,,2.989756324693466e-8,7249381149478517000,,,,
2.7996663045165297e-8,12726561821842235000,2.9476488765313424e-8,46060750139087880000,2.8807762029791435e-8,65444615640204070000,2.8575197889182057e-8,749709532451409900,2.936656108276187e-8,12836926647065142,,,2.872212737337679e-8,8789197555848449,2.9146705717658744e-8,381154641313310.1,2.851069555432471e-8,16342669957.473204,2.9319028402917898e-8,26455754113142.742,2.8805144704016392e-8,3297025996803.2603,2.8816922670004058e-8,194850996.59133744,2.9319028402917898e-8,85402331722.24013,2.7233964041261585e-8,54285052783.426315,,,2.7335480366288996e-8,670284932462.0776,2.7168007431730646e-8,331753687.56360537,,,,,,,2.9517711646270257e-8,58300285.814943686
2.890578922862021e-8,7044875120126781000,3.001238621775228e-8,12821163125428519000,2.9682603170097604e-8,14993283091071955000,2.953942262921e-8,199923049740473900,2.994368141615756e-8,3596895177398842,,,2.9657884525842e-8,2058694745589741,2.9929940455838614e-8,76766615423936.61,2.9455877324835007e-8,4657302996.428115,2.989756324693466e-8,7003667772587.343,2.9714665410841808e-8,872532227752.26,2.9712048085066765e-8,43851668.74927308,2.993888716436443e-8,20179471647.40898,2.8157356574694692e-8,39060624981.99848,,,2.824460654974391e-8,453330678432.0666,2.8074910812781025e-8,214474556.22005528,,,,,,,,
2.9690943659785815e-8,1735549466303037000,,,,,,,,,,,,,,,3.001238621775228e-8,1455758084.3562279,,,,,,,,,2.906425995574507e-8,19514498722.88822,,,2.9153732733198824e-8,205392164623.68274,2.8981814193831405e-8,110385073.7714611,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2.984749469392495e-8,4757385782.485993,,,2.985623932950489e-8,47956309392.37224,2.981376688223298e-8,6415714.380130023,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9558934527227097e-8,44341315.52808048,,,,,,,,
