"ib","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-4.2282e+06,1,0,0,0,0
1.9329e+07,1,1e-10,1e-10,0,0
5.4279e+07,1,2e-10,2e-10,0,0
9.7584e+07,1,3e-10,3e-10,0,0
1.4713e+08,1,4e-10,4e-10,0,0
2.0151e+08,1,5e-10,5e-10,0,0
2.5987e+08,1,6e-10,6e-10,0,0
3.2084e+08,1,7e-10,7e-10,0,0
3.8315e+08,1,8e-10,8e-10,0,0
4.4609e+08,1,9e-10,9e-10,0,0
5.0899e+08,1,1e-09,1e-09,0,0
5.7123e+08,1,1.1e-09,1.1e-09,0,0
6.3169e+08,1,1.2e-09,1.2e-09,0,0
6.9003e+08,1,1.3e-09,1.3e-09,0,0
7.4587e+08,1,1.4e-09,1.4e-09,0,0
7.9886e+08,1,1.5e-09,1.5e-09,0,0
8.487e+08,1,1.6e-09,1.6e-09,0,0
8.9471e+08,1,1.7e-09,1.7e-09,0,0
9.3646e+08,1,1.8e-09,1.8e-09,0,0
9.7447e+08,1,1.9e-09,1.9e-09,0,0
1.0087e+09,1,2e-09,2e-09,0,0
1.0393e+09,1,2.1e-09,2.1e-09,0,0
1.0662e+09,1,2.2e-09,2.2e-09,0,0
1.0887e+09,1,2.3e-09,2.3e-09,0,0
1.1079e+09,1,2.4e-09,2.4e-09,0,0
1.124e+09,1,2.5e-09,2.5e-09,0,0
1.1373e+09,1,2.6e-09,2.6e-09,0,0
1.148e+09,1,2.7e-09,2.7e-09,0,0
1.1561e+09,1,2.8e-09,2.8e-09,0,0
1.1618e+09,1,2.9e-09,2.9e-09,0,0
1.1658e+09,1,3e-09,3e-09,0,0
1.1682e+09,1,3.1e-09,3.1e-09,0,0
1.1692e+09,1,3.2e-09,3.2e-09,0,0
1.1691e+09,1,3.3e-09,3.3e-09,0,0
1.1677e+09,1,3.4e-09,3.4e-09,0,0
1.1656e+09,1,3.5e-09,3.5e-09,0,0
1.1628e+09,1,3.6e-09,3.6e-09,0,0
1.1595e+09,1,3.7e-09,3.7e-09,0,0
1.1558e+09,1,3.8e-09,3.8e-09,0,0
1.1517e+09,1,3.9e-09,3.9e-09,0,0
1.1473e+09,1,4e-09,4e-09,0,0
1.1426e+09,1,4.1e-09,4.1e-09,0,0
1.1379e+09,1,4.2e-09,4.2e-09,0,0
1.133e+09,1,4.3e-09,4.3e-09,0,0
1.128e+09,1,4.4e-09,4.4e-09,0,0
1.123e+09,1,4.5e-09,4.5e-09,0,0
