t(s),inventory(He/m2),flux_surface_left(He/m2/s),max_ib(He),x_max_ib(m),mean_ib(He),total_bubbles
0.01,1116748480.861972,-9.40377383446679e+21,449.823730469,3e-09,317.00848335408284,3522771.5960352365
0.01909090909090909,6546099904.6316395,-9.403777340381206e+21,1477.70008576,3e-09,973.2477957676678,6726036.198693138
0.02909090909090909,19754166857.562294,-9.403777339560402e+21,3009.28300847,3e-09,1927.3058430484432,10249627.441754075
0.040090909090909094,44940738587.88699,-9.403777338489588e+21,5044.64487288,3e-09,3181.515066652865,14125577.797488544
0.05219090909090909,87555012626.4707,-9.403777337147524e+21,7624.26868909,3e-09,4761.239119677746,18389123.172708172
0.0655009090909091,154741152929.74356,-9.40377733549924e+21,10811.318857,3e-09,6704.839823700033,23079023.063723307
0.0801419090909091,255865216665.39087,-9.403777333501861e+21,14686.7705086,3e-09,9061.05268603211,28237912.914888456
0.09624700909090911,403175454296.6437,-9.403777331104428e+21,19348.6139316,3e-09,11888.630301281282,33912691.712954685
0.11396261909090911,612640763789.5338,-9.403777328247129e+21,24912.7330705,3e-09,15256.918240584431,40154948.34073818
0.13344979009090913,905019048755.3049,-9.40377732486027e+21,31514.6997537,3e-09,19246.948420358287,47021430.5660023
0.15488567819090915,1307219561485.8076,-9.403777320862934e+21,39312.2246957,3e-09,23952.910279675645,54574560.92903251
0.17846515510090916,1854039980825.8916,-9.403777316161392e+21,48488.1880983,3e-09,29483.95999620431,62883004.218720146
0.20440257970190917,2590380495926.254,-9.403777310647237e+21,59254.2513936,3e-09,35966.37145152553,72022291.6959387
0.23293374676300918,3574064631360.315,-9.403777304195178e+21,71855.092895,3e-09,43546.05569705492,82075507.73885667
0.2643180305302192,4879431473091.77,-9.40377729666055e+21,86573.3368022,3e-09,52391.49083575205,93134045.15227188
0.29884074267415023,6601908307997.742,-9.403777287876334e+21,103735.266223,3e-09,62697.11648465729,105298436.00723338
0.33681572603247434,8863828989235.633,-9.403777277649793e+21,123717.430639,3e-09,74687.25852933624,118679265.5638047
0.3785882077266309,11821834787021.607,-9.40377726575856e+21,146954.278588,3e-09,88620.66184887243,133398177.58506192
0.4245379375902031,15676285142826.693,-9.403777251946135e+21,173946.968456,3e-09,104795.7217426093,149588980.181171
0.47508264044013254,20683220773272.062,-9.403777235916643e+21,205273.535006,3e-09,123556.51942298468,167398862.2361958
0.530681813575055,27169567510974.08,-9.403777217328859e+21,241600.61736,3e-09,145299.78355811295,186989731.47546056
0.5918409040234696,35552454424852.03,-9.403777195789257e+21,283696.986233,3e-09,170482.91885990417,208539686.33694953
0.6591159035167257,46363754662807.85,-9.403777170844028e+21,332449.145091,3e-09,199633.2645425056,232244635.02642444
0.7331184029593074,60281255464362.58,-9.403777141969869e+21,388879.322288,3e-09,233358.77058900494,258320076.47370946
0.8145211523461473,78168241846764.36,-9.403777108563337e+21,454166.220032,3e-09,272360.30868755834,287003059.3790965
0.9040641766716712,101123758073725.69,-9.403777069928606e+21,529668.94233,3e-09,317445.8680302292,318554337.15740174
1.0025615034297475,130546419443829.5,-9.403777025263332e+21,616954.588884,3e-09,369546.92459482484,353260738.36756176
1.1109085628636315,168215418783426.28,-9.403776973642331e+21,717830.07673,3e-09,429737.31684023916,391437774.1739443
1.230090328240904,216393351187145.66,-9.403776913998814e+21,834378.837623,3e-09,499255.0118467263,433432506.53952265
1.3611902701559035,277956722698140.88,-9.403776845102663e+21,969003.138706,3e-09,579527.204869759,479626703.2202706
1.505400206262403,356561584397037.56,-9.403776765535454e+21,1124472.8887,3e-09,672199.2632550282,530440308.2360421
1.6640311359795525,456853732386075.0,-9.403776673661634e+21,1303981.92422,3e-09,779168.1040727377,586335259.3594184
1.838525158668417,584735450100065.1,-9.403776567595214e+21,1511212.92353,3e-09,902620.6852747081,647819687.3164986
2.0304685836261678,747703986478481.4,-9.40377644516146e+21,1750412.27109,3e-09,1045078.3945070978,715452534.8609178
2.2416063510796937,955281044773299.4,-9.40377630385264e+21,2026476.39951,3e-09,1209448.240057851,789848637.6958189
2.4738578952785724,1219557734288382.2,-9.403776140776978e+21,2345051.36974,3e-09,1399081.8872417654,871684313.412628
2.729334593897339,1555886005666468.8,-9.403775952599859e+21,2712647.72078,3e-09,1617843.7436662347,961703509.2280532
3.0103589623779823,1983755923114613.2,-9.403775735475914e+21,3136772.9321,3e-09,1870189.4815515862,1060724564.3734493
3.31948576770669,2527908698249589.5,-9.403775484970769e+21,3626084.20147,3e-09,2161256.598379781,1169647648.569205
3.6595252535682685,3219748821502137.5,-9.403775195970741e+21,4190564.65622,3e-09,2496968.862972107,1289462944.1513002
4.033568688016005,4099135641321892.0,-9.403774862578715e+21,4841726.59457,3e-09,2884156.777678786,1421259646.1628344
4.445016465908514,5216656326919345.0,-9.403774477994033e+21,5592845.90592,3e-09,3330696.5145020266,1566235862.1404715
4.8976090215902754,6636509535297356.0,-9.403774034373944e+21,6459232.4564,3e-09,3845670.160361435,1725709501.4809134
5.395460832840213,8440163846306941.0,-9.40377352267383e+21,7458541.9607,3e-09,4439550.54206847,1901130253.2383175
5.943097825215143,1.07309991076954e+16,-9.40377293246288e+21,8611135.70942,3e-09,5124414.40381271,2094092761.0599236
6.545498516827567,1.3640194754300218e+16,-9.403772251711502e+21,9940495.49952,3e-09,5914188.289355462,2306351114.801377
7.208139277601233,1.733420011462521e+16,-9.403771466546133e+21,11473702.2437,3e-09,6824932.149533667,2539834790.271083
7.937044114452266,2.202421173242579e+16,-9.403770560966364e+21,13241988.0371,3e-09,7875166.466781352,2796666181.6391134
8.738839434988401,2.7978196934417332e+16,-9.403769516518738e+21,15281372.9614,3e-09,9086249.57796299,3079179885.4252524
9.62081428757815,3.553614776867863e+16,-9.403768311920405e+21,17633399.6392,3e-09,10482812.903098283,3389943910.777576
10.590986625426876,4.512943326979583e+16,-9.403766922625109e+21,20345980.5528,3e-09,12093262.971557684,3731783008.104296
11.658176197060474,5.730535124101007e+16,-9.403765320322501e+21,23474375.4445,3e-09,13950360.503274638,4107804327.1755233
12.832084725857431,7.27582766576744e+16,-9.403763472360671e+21,27082318.7812,3e-09,16091888.378438557,4521425636.730296
14.123384107534084,9.236917923526032e+16,-9.403761341080021e+21,31243320.3341,3e-09,18561422.147294957,4976406360.582759
15.543813427378403,1.1725575904066054e+17,-9.403758883044963e+21,36042165.4673,3e-09,21409218.82935518,5476881710.409989
17.106285679207154,1.4883605337187216e+17,-9.40375604815772e+21,41576645.8178,3e-09,24693242.1715148,6027400223.027977
18.82500515621878,1.889091348876341e+17,-9.403752778636133e+21,47959555.7661,3e-09,28480345.326939914,6632965040.242774
20.715596580931567,2.397574937759787e+17,-9.403749007834694e+21,55320995.537,3e-09,32847635.138395287,7299079302.5379305
22.795247148115635,3.0427693097249274e+17,-9.403744658884681e+21,63811028.0526,3e-09,37884045.92709625,8031796064.180706
25.08286277201811,3.861413553084965e+17,-9.403739643125746e+21,73602743.9054,3e-09,43692154.97751259,8837773177.066572
27.599239958310832,4.900118640795888e+17,-9.403733858296988e+21,84895797.1808,3e-09,50390276.85798175,9724333634.058445
30.367254863232827,6.218020068892123e+17,-9.40372718645064e+21,97920484.5117,3e-09,58114879.42827545,10699531910.00992
33.41207125864702,7.89014330087972e+17,-9.403719491545974e+21,112942450.883,3e-09,67023370.975937024,11772226890.396885
36.761369293602634,1.0011673555119276e+18,-9.403710616674467e+21,130268118.566,3e-09,77297315.52900621,12952162033.832008
40.44559713205381,1.270337293109588e+18,-9.40370038085982e+21,150250950.386,3e-09,89146142.17048281,14250053476.012442
44.4982477543501,1.6118453148590157e+18,-9.403688575367986e+21,173298675.685,3e-09,102811424.31070603,15677686849.156605
48.956163438876025,2.045129497915085e+18,-9.403674959452248e+21,199881627.076,3e-09,118571816.56712894,17248023663.00295
53.85987069185454,2.594851048332679e+18,-9.403659255447353e+21,230542358.956,3e-09,136748750.39873338,18975318171.219746
59.25394867013091,3.292297739002788e+18,-9.403641143113428e+21,265906745.093,3e-09,157713005.22442523,20875245730.79979
65.18743444623492,4.177164392104201e+18,-9.403620253115576e+21,306696783.04,3e-09,181892289.74481907,22965043751.79642
71.71426879994932,5.299811664882334e+18,-9.403596159507895e+21,353745368.324,3e-09,209779988.95942003,25263666430.58377
78.89378658903517,6.724131571129322e+18,-9.403568371070886e+21,408013341.98,3e-09,241945256.35986567,27791954561.522594
86.79125615702961,8.531182626272757e+18,-9.403536321328813e+21,470609161.945,3e-09,279044658.486768,30572821829.081154
95.47847268182349,1.0823801187971308e+19,-9.403499357047601e+21,542811603.112,3e-09,321835611.0446731,33631459094.40359
105.03441085909675,1.3732450941025102e+19,-9.40345672498465e+21,626095953.586,3e-09,371191882.7514923,36995558305.94168
115.54594285409735,1.7422642664421593e+19,-9.403407556628051e+21,722164247.233,3e-09,428121485.8384627,40695557781.455154
127.108628048598,2.2104345365711557e+19,-9.403350850624622e+21,832980156.602,3e-09,493787321.52358574,44764910726.15712
139.82758176254873,2.8043922563950772e+19,-9.403285452552661e+21,960809267.427,3e-09,569531005.9126508,49240378965.867714
153.81843084789452,3.5579270254326755e+19,-9.403210031645903e+21,1108265568.49,3e-09,656900367.8673041,54162353980.46523
169.20836484177488,4.513901386189272e+19,-9.403123054019713e+21,1278365120.92,3e-09,757681186.8521076,59575207415.97011
186.1372922350433,5.72668503539442e+19,-9.403022751887682e+21,1474588022.49,3e-09,873933827.4574624,65527673325.737686
204.75911236763858,7.265241123865216e+19,-9.402907088186587e+21,1700949956.47,3e-09,1008035528.9936694,72073264432.63531
225.24311451349337,9.21703886415528e+19,-9.40277371594967e+21,1962084821.0,3e-09,1162729229.3341234,79270724702.03343
247.77551687393364,1.1693012969934532e+20,-9.402619931680637e+21,2263340168.11,3e-09,1341179937.5735552,87184520453.60426
