X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,Xcb,Ycb
1.9718076607056356e-8,1.109026059517452e+21,1.9564816972939916e-8,403935296495971200,1.9503464284997058e-8,3863931902118951,1.8973913982249965e-8,25615136941633.227,1.8835973106485063e-8,180377811730.95367,1.8829308425885296e-8,2122062057.8235414,2.2755429737690608e-8,37655051025258635000
2.0370450768899837e-8,998646479889834400000,2.0391167318115506e-8,356008430107188030,2.026488663129182e-8,4229677437267576,1.969173010392863e-8,26159479331086.164,1.9553681152262112e-8,171406605414.59106,1.9546956429494778e-8,1937404539.3936949,2.3441519578027682e-8,32229550689449406000
2.121867447571952e-8,954926887234454700000,2.1167436891605853e-8,302803234905869900,2.0993407604312207e-8,3855049526333280.5,2.0409446155328016e-8,24991433253143.145,2.0271365181172132e-8,160294680895.01,2.026453238250318e-8,1685869278.519344,2.4182348661690835e-8,27097563132966306000
2.1708000128727804e-8,909618523036029600000,2.1905544864234944e-8,267719449037111040,2.1824496515474073e-8,3578092043235326,2.1127042122392275e-8,22038844281707.746,2.098901318478161e-8,146346164223.47882,2.098213235237861e-8,1490666059.4893625,2.5016216343428638e-8,20204340324763898000
2.2653982491371995e-8,802363249339794800000,2.258952122027371e-8,226704965143470900,2.2472222841717818e-8,3250236109467157,2.1844740161141395e-8,20803491124681.242,2.1706781272726223e-8,144746473474.34113,2.1699732322254035e-8,1318065006.1226246,2.5943356616145537e-8,15614875007630620000
2.3556462302209425e-8,707539464623223500000,2.337555575168607e-8,189888573245192640,2.3334335731470813e-8,2919889139684722,2.256239016615646e-8,19018570093577.477,2.2424405259468677e-8,130052091603.15851,2.2417332292129466e-8,1165449061.7168326,2.692527555034805e-8,11163674498176051000
2.422694318038506e-8,629034981879908700000,2.4011650837890823e-8,174933386656545020,2.410790872544127e-8,2654678246101746,2.333227225372064e-8,17732885615662.88,2.314205326307816e-8,118735223459.0294,2.3134896236704355e-8,1006052023.0375186,2.7593300970724335e-8,8233208134986190000
2.4929970249057153e-8,530064335966101400000,2.492481569568518e-8,135865525974608780,2.4690324612788307e-8,2321069880857241,2.404341348763105e-8,16391183632462.242,2.3859713275121156e-8,109274354086.25945,2.3852388130678167e-8,827730449.6319005,2.8225754542353504e-8,5892013682021114000
2.5633026671677838e-8,455491565752377900000,2.5577063368695652e-8,112450342252061570,2.5473150390695685e-8,2015260186251979.5,2.4845809809915833e-8,14180460259885.723,2.4577385295597663e-8,101375582752.00165,2.456991604995252e-8,697568320.8773295,2.9206957974059194e-8,2614534800420385300
2.6307140100991183e-8,406948984288938950000,2.6348947462267016e-8,93422232013288980,2.6223155518687315e-8,1537405303226718.2,2.5527279071891144e-8,13592126342244.04,2.5294937231739038e-8,86812860069.23608,2.5287383927059306e-8,564809976.9511794,2.9789017420601954e-8,903706506540976400
2.7083290790989755e-8,319759478173796400000,2.723567678297661e-8,71428073290527976,2.6973327964185893e-8,1311245597019637.2,2.628113383681299e-8,12042772696757.686,2.6012441134146365e-8,71999420180.06259,2.6004803770432036e-8,442906652.7489195,,
2.7676776995868933e-8,258783387977064250000,2.7892385417488146e-8,51740070103474500,2.777765550943366e-8,964184774578095.1,2.70507651482573e-8,9500103871340.91,2.6729945036553684e-8,59713693364.44924,2.672223562223828e-8,350105142.0334735,,
2.852444931544981e-8,171343697632888100000,2.8495388906348123e-8,34960363988598830,2.847321933667737e-8,704988076287771.2,2.774866018222941e-8,7707994059608.566,2.7447376888359928e-8,47201980297.53938,2.7439523372842363e-8,251401275.5954931,,
2.9241184678112296e-8,85137484325769220000,2.9380344409878776e-8,13751968415220052,2.9222735721425013e-8,388282531428071.06,2.8473659645906176e-8,4114368350568.4272,2.8164700664264553e-8,34718306380.39782,2.815679911501294e-8,179085334.7454116,,
2.9826600958347103e-8,24607590720804594000,2.9943830145452755e-8,3526539852940918,2.997046885379596e-8,65142192262555.94,2.9227935773417302e-8,2072077083262.5295,2.8881736237764873e-8,21072800102.191696,2.8873762637912177e-8,103601272.58122543,,
,,,,,,2.983282818886889e-8,560350597665.3256,2.959775109441657e-8,6477216832.406404,2.9590834236713032e-8,64410716.55862635,,
,,,,,,,,3.00206641058807e-8,2848412386.094821,,,,

