"arc_length","1","2","6","3","4","5","cb"
1.53e-09,1.72167e+21,1.00804e+18,2.06248e+10,4.68184e+15,1.90739e+13,1.15131e+11,1.98846e+15
1.56e-09,1.74391e+21,1.02696e+18,2.10259e+10,4.77247e+15,1.94446e+13,1.1737e+11,2.05181e+15
1.59e-09,1.76616e+21,1.04589e+18,2.14271e+10,4.86309e+15,1.98152e+13,1.19609e+11,2.11516e+15
1.62e-09,1.7884e+21,1.06481e+18,2.18282e+10,4.95372e+15,2.01859e+13,1.21847e+11,2.1785e+15
1.65e-09,1.81064e+21,1.08373e+18,2.22293e+10,5.04435e+15,2.05565e+13,1.24086e+11,2.24185e+15
1.68e-09,1.83289e+21,1.10266e+18,2.26304e+10,5.13497e+15,2.09272e+13,1.26325e+11,2.3052e+15
1.71e-09,1.85513e+21,1.12158e+18,2.30315e+10,5.2256e+15,2.12978e+13,1.28564e+11,2.36854e+15
1.74e-09,1.87737e+21,1.1405e+18,2.34326e+10,5.31623e+15,2.16684e+13,1.30802e+11,2.43189e+15
1.77e-09,1.89962e+21,1.15943e+18,2.38337e+10,5.40685e+15,2.20391e+13,1.33041e+11,2.49524e+15
1.8e-09,1.92186e+21,1.17835e+18,2.42349e+10,5.49748e+15,2.24097e+13,1.3528e+11,2.55858e+15
1.83e-09,1.93333e+21,1.19565e+18,2.4629e+10,5.58566e+15,2.27733e+13,1.37479e+11,2.62185e+15
1.86e-09,1.9448e+21,1.21294e+18,2.50231e+10,5.67384e+15,2.31369e+13,1.39678e+11,2.68511e+15
1.89e-09,1.95626e+21,1.23024e+18,2.54173e+10,5.76202e+15,2.35004e+13,1.41878e+11,2.74838e+15
1.92e-09,1.96773e+21,1.24754e+18,2.58114e+10,5.8502e+15,2.3864e+13,1.44077e+11,2.81164e+15
1.95e-09,1.9792e+21,1.26484e+18,2.62056e+10,5.93837e+15,2.42276e+13,1.46276e+11,2.87491e+15
1.98e-09,1.99067e+21,1.28213e+18,2.65997e+10,6.02655e+15,2.45911e+13,1.48475e+11,2.93817e+15
2.01e-09,2.00214e+21,1.29943e+18,2.69938e+10,6.11473e+15,2.49547e+13,1.50674e+11,3.00144e+15
2.04e-09,2.0136e+21,1.31673e+18,2.7388e+10,6.20291e+15,2.53182e+13,1.52873e+11,3.0647e+15
2.07e-09,2.02507e+21,1.33402e+18,2.77821e+10,6.29109e+15,2.56818e+13,1.55073e+11,3.12797e+15
2.1e-09,2.03654e+21,1.35132e+18,2.81763e+10,6.37927e+15,2.60454e+13,1.57272e+11,3.19123e+15
2.13e-09,2.04801e+21,1.36862e+18,2.85704e+10,6.46745e+15,2.64089e+13,1.59471e+11,3.2545e+15
2.16e-09,2.05948e+21,1.38591e+18,2.89646e+10,6.55563e+15,2.67725e+13,1.6167e+11,3.31776e+15
2.19e-09,2.07095e+21,1.40321e+18,2.93587e+10,6.64381e+15,2.71361e+13,1.63869e+11,3.38103e+15
2.22e-09,2.08241e+21,1.42051e+18,2.97528e+10,6.73198e+15,2.74996e+13,1.66069e+11,3.44429e+15
2.25e-09,2.09388e+21,1.43781e+18,3.0147e+10,6.82016e+15,2.78632e+13,1.68268e+11,3.50756e+15
2.28e-09,2.10535e+21,1.4551e+18,3.05411e+10,6.90834e+15,2.82267e+13,1.70467e+11,3.57082e+15
2.31e-09,2.11682e+21,1.4724e+18,3.09353e+10,6.99652e+15,2.85903e+13,1.72666e+11,3.63409e+15
2.34e-09,2.12829e+21,1.4897e+18,3.13294e+10,7.0847e+15,2.89539e+13,1.74865e+11,3.69735e+15
2.37e-09,2.13975e+21,1.50699e+18,3.17235e+10,7.17288e+15,2.93174e+13,1.77065e+11,3.76062e+15
2.4e-09,2.15122e+21,1.52429e+18,3.21177e+10,7.26106e+15,2.9681e+13,1.79264e+11,3.82388e+15
2.43e-09,2.15488e+21,1.53954e+18,3.25015e+10,7.34569e+15,3.00341e+13,1.81404e+11,3.87818e+15
2.46e-09,2.15854e+21,1.55479e+18,3.28853e+10,7.43032e+15,3.03872e+13,1.83545e+11,3.93247e+15
2.49e-09,2.1622e+21,1.57005e+18,3.32691e+10,7.51496e+15,3.07403e+13,1.85685e+11,3.98676e+15
2.52e-09,2.16586e+21,1.5853e+18,3.36529e+10,7.59959e+15,3.10934e+13,1.87826e+11,4.04105e+15
2.55e-09,2.16951e+21,1.60055e+18,3.40367e+10,7.68422e+15,3.14465e+13,1.89966e+11,4.09534e+15
2.58e-09,2.17317e+21,1.6158e+18,3.44205e+10,7.76886e+15,3.17995e+13,1.92107e+11,4.14963e+15
2.61e-09,2.17683e+21,1.63106e+18,3.48043e+10,7.85349e+15,3.21526e+13,1.94247e+11,4.20393e+15
2.64e-09,2.18049e+21,1.64631e+18,3.51881e+10,7.93812e+15,3.25057e+13,1.96388e+11,4.25822e+15
2.67e-09,2.18415e+21,1.66156e+18,3.55719e+10,8.02275e+15,3.28588e+13,1.98529e+11,4.31251e+15
2.7e-09,2.1878e+21,1.67681e+18,3.59557e+10,8.10739e+15,3.32119e+13,2.00669e+11,4.3668e+15
2.73e-09,2.19146e+21,1.69207e+18,3.63395e+10,8.19202e+15,3.3565e+13,2.0281e+11,4.42109e+15
2.76e-09,2.19512e+21,1.70732e+18,3.67233e+10,8.27665e+15,3.39181e+13,2.0495e+11,4.47539e+15
2.79e-09,2.19878e+21,1.72257e+18,3.71071e+10,8.36129e+15,3.42712e+13,2.07091e+11,4.52968e+15
2.82e-09,2.20244e+21,1.73782e+18,3.74909e+10,8.44592e+15,3.46243e+13,2.09231e+11,4.58397e+15
2.85e-09,2.20609e+21,1.75308e+18,3.78747e+10,8.53055e+15,3.49773e+13,2.11372e+11,4.63826e+15
2.88e-09,2.20975e+21,1.76833e+18,3.82586e+10,8.61518e+15,3.53304e+13,2.13512e+11,4.69255e+15
2.91e-09,2.21341e+21,1.78358e+18,3.86424e+10,8.69982e+15,3.56835e+13,2.15653e+11,4.74684e+15
2.94e-09,2.21707e+21,1.79883e+18,3.90262e+10,8.78445e+15,3.60366e+13,2.17793e+11,4.80114e+15
2.97e-09,2.22073e+21,1.81408e+18,3.941e+10,8.86908e+15,3.63897e+13,2.19934e+11,4.85543e+15
3e-09,2.22438e+21,1.82934e+18,3.97938e+10,8.95372e+15,3.67428e+13,2.22074e+11,4.90972e+15
3.03e-09,2.22394e+21,1.84244e+18,4.01643e+10,9.03393e+15,3.70825e+13,2.2414e+11,4.95446e+15
3.06e-09,2.22349e+21,1.85553e+18,4.05348e+10,9.11414e+15,3.74222e+13,2.26205e+11,4.9992e+15
3.09e-09,2.22304e+21,1.86863e+18,4.09053e+10,9.19436e+15,3.77619e+13,2.2827e+11,5.04394e+15
3.12e-09,2.2226e+21,1.88173e+18,4.12758e+10,9.27457e+15,3.81015e+13,2.30335e+11,5.08868e+15
3.15e-09,2.22215e+21,1.89483e+18,4.16463e+10,9.35478e+15,3.84412e+13,2.324e+11,5.13342e+15
3.18e-09,2.2217e+21,1.90793e+18,4.20169e+10,9.435e+15,3.87809e+13,2.34465e+11,5.17815e+15
3.21e-09,2.22126e+21,1.92103e+18,4.23874e+10,9.51521e+15,3.91206e+13,2.36531e+11,5.22289e+15
3.24e-09,2.22081e+21,1.93413e+18,4.27579e+10,9.59542e+15,3.94603e+13,2.38596e+11,5.26763e+15
3.27e-09,2.22036e+21,1.94723e+18,4.31284e+10,9.67564e+15,3.98e+13,2.40661e+11,5.31237e+15
3.3e-09,2.21992e+21,1.96033e+18,4.34989e+10,9.75585e+15,4.01397e+13,2.42726e+11,5.35711e+15
3.33e-09,2.21947e+21,1.97342e+18,4.38694e+10,9.83606e+15,4.04793e+13,2.44791e+11,5.40185e+15
3.36e-09,2.21902e+21,1.98652e+18,4.42399e+10,9.91628e+15,4.0819e+13,2.46856e+11,5.44659e+15
3.39e-09,2.21858e+21,1.99962e+18,4.46105e+10,9.99649e+15,4.11587e+13,2.48922e+11,5.49133e+15
3.42e-09,2.21813e+21,2.01272e+18,4.4981e+10,1.00767e+16,4.14984e+13,2.50987e+11,5.53607e+15
3.45e-09,2.21768e+21,2.02582e+18,4.53515e+10,1.01569e+16,4.18381e+13,2.53052e+11,5.58081e+15
3.48e-09,2.21724e+21,2.03892e+18,4.5722e+10,1.02371e+16,4.21778e+13,2.55117e+11,5.62555e+15
3.51e-09,2.21679e+21,2.05202e+18,4.60925e+10,1.03173e+16,4.25175e+13,2.57182e+11,5.67029e+15
