"cb","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.8632e+19,1,3.45e-09,3.45e-09,0,0
2.8861e+19,1,3.48e-09,3.48e-09,0,0
2.909e+19,1,3.51e-09,3.51e-09,0,0
2.9318e+19,1,3.54e-09,3.54e-09,0,0
2.9547e+19,1,3.57e-09,3.57e-09,0,0
2.9776e+19,1,3.6e-09,3.6e-09,0,0
2.9968e+19,1,3.63e-09,3.63e-09,0,0
3.0159e+19,1,3.66e-09,3.66e-09,0,0
3.0351e+19,1,3.69e-09,3.69e-09,0,0
3.0543e+19,1,3.72e-09,3.72e-09,0,0
3.0735e+19,1,3.75e-09,3.75e-09,0,0
3.0927e+19,1,3.78e-09,3.78e-09,0,0
3.1118e+19,1,3.81e-09,3.81e-09,0,0
3.131e+19,1,3.84e-09,3.84e-09,0,0
3.1502e+19,1,3.87e-09,3.87e-09,0,0
3.1694e+19,1,3.9e-09,3.9e-09,0,0
3.1886e+19,1,3.93e-09,3.93e-09,0,0
3.2078e+19,1,3.96e-09,3.96e-09,0,0
3.2269e+19,1,3.99e-09,3.99e-09,0,0
3.2461e+19,1,4.02e-09,4.02e-09,0,0
3.2653e+19,1,4.05e-09,4.05e-09,0,0
3.2845e+19,1,4.08e-09,4.08e-09,0,0
3.3037e+19,1,4.11e-09,4.11e-09,0,0
3.3228e+19,1,4.14e-09,4.14e-09,0,0
3.342e+19,1,4.17e-09,4.17e-09,0,0
3.3612e+19,1,4.2e-09,4.2e-09,0,0
3.3777e+19,1,4.23e-09,4.23e-09,0,0
3.3942e+19,1,4.26e-09,4.26e-09,0,0
3.4107e+19,1,4.29e-09,4.29e-09,0,0
3.4272e+19,1,4.32e-09,4.32e-09,0,0
3.4437e+19,1,4.35e-09,4.35e-09,0,0
3.4602e+19,1,4.38e-09,4.38e-09,0,0
3.4767e+19,1,4.41e-09,4.41e-09,0,0
3.4932e+19,1,4.44e-09,4.44e-09,0,0
3.5096e+19,1,4.47e-09,4.47e-09,0,0
3.5261e+19,1,4.5e-09,4.5e-09,0,0
3.5426e+19,1,4.53e-09,4.53e-09,0,0
3.5591e+19,1,4.56e-09,4.56e-09,0,0
3.5756e+19,1,4.59e-09,4.59e-09,0,0
3.5921e+19,1,4.62e-09,4.62e-09,0,0
3.6086e+19,1,4.65e-09,4.65e-09,0,0
