"cb","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1,0,0,0,0
6.9355e+14,1,3e-11,3e-11,0,0
1.3871e+15,1,6e-11,6e-11,0,0
2.0806e+15,1,9e-11,9e-11,0,0
2.7742e+15,1,1.2e-10,1.2e-10,0,0
3.4677e+15,1,1.5e-10,1.5e-10,0,0
4.1613e+15,1,1.8e-10,1.8e-10,0,0
4.8548e+15,1,2.1e-10,2.1e-10,0,0
5.5484e+15,1,2.4e-10,2.4e-10,0,0
6.2419e+15,1,2.7e-10,2.7e-10,0,0
6.9355e+15,1,3e-10,3e-10,0,0
7.629e+15,1,3.3e-10,3.3e-10,0,0
8.3226e+15,1,3.6e-10,3.6e-10,0,0
9.0161e+15,1,3.9e-10,3.9e-10,0,0
9.7096e+15,1,4.2e-10,4.2e-10,0,0
1.0403e+16,1,4.5e-10,4.5e-10,0,0
1.1097e+16,1,4.8e-10,4.8e-10,0,0
1.179e+16,1,5.1e-10,5.1e-10,0,0
1.2484e+16,1,5.4e-10,5.4e-10,0,0
1.3177e+16,1,5.7e-10,5.7e-10,0,0
1.3871e+16,1,6e-10,6e-10,0,0
1.6225e+16,1,6.3e-10,6.3e-10,0,0
1.8578e+16,1,6.6e-10,6.6e-10,0,0
2.0932e+16,1,6.9e-10,6.9e-10,0,0
2.3286e+16,1,7.2e-10,7.2e-10,0,0
2.5639e+16,1,7.5e-10,7.5e-10,0,0
2.7993e+16,1,7.8e-10,7.8e-10,0,0
3.0347e+16,1,8.1e-10,8.1e-10,0,0
3.27e+16,1,8.4e-10,8.4e-10,0,0
3.5054e+16,1,8.7e-10,8.7e-10,0,0
3.7408e+16,1,9e-10,9e-10,0,0
3.9761e+16,1,9.3e-10,9.3e-10,0,0
4.2115e+16,1,9.6e-10,9.6e-10,0,0
4.4469e+16,1,9.9e-10,9.9e-10,0,0
4.6823e+16,1,1.02e-09,1.02e-09,0,0
4.9176e+16,1,1.05e-09,1.05e-09,0,0
5.153e+16,1,1.08e-09,1.08e-09,0,0
5.3884e+16,1,1.11e-09,1.11e-09,0,0
5.6237e+16,1,1.14e-09,1.14e-09,0,0
5.8591e+16,1,1.17e-09,1.17e-09,0,0
6.0945e+16,1,1.2e-09,1.2e-09,0,0
6.3934e+16,1,1.23e-09,1.23e-09,0,0
6.6923e+16,1,1.26e-09,1.26e-09,0,0
6.9912e+16,1,1.29e-09,1.29e-09,0,0
7.2901e+16,1,1.32e-09,1.32e-09,0,0
7.589e+16,1,1.35e-09,1.35e-09,0,0
7.8879e+16,1,1.38e-09,1.38e-09,0,0
8.1868e+16,1,1.41e-09,1.41e-09,0,0
8.4857e+16,1,1.44e-09,1.44e-09,0,0
8.7846e+16,1,1.47e-09,1.47e-09,0,0
9.0835e+16,1,1.5e-09,1.5e-09,0,0
9.3824e+16,1,1.53e-09,1.53e-09,0,0
9.6814e+16,1,1.56e-09,1.56e-09,0,0
9.9803e+16,1,1.59e-09,1.59e-09,0,0
1.0279e+17,1,1.62e-09,1.62e-09,0,0
1.0578e+17,1,1.65e-09,1.65e-09,0,0
1.0877e+17,1,1.68e-09,1.68e-09,0,0
1.1176e+17,1,1.71e-09,1.71e-09,0,0
1.1475e+17,1,1.74e-09,1.74e-09,0,0
1.1774e+17,1,1.77e-09,1.77e-09,0,0
1.2073e+17,1,1.8e-09,1.8e-09,0,0
1.2371e+17,1,1.83e-09,1.83e-09,0,0
1.267e+17,1,1.86e-09,1.86e-09,0,0
1.2968e+17,1,1.89e-09,1.89e-09,0,0
1.3267e+17,1,1.92e-09,1.92e-09,0,0
1.3565e+17,1,1.95e-09,1.95e-09,0,0
1.3864e+17,1,1.98e-09,1.98e-09,0,0
1.4162e+17,1,2.01e-09,2.01e-09,0,0
1.4461e+17,1,2.04e-09,2.04e-09,0,0
1.4759e+17,1,2.07e-09,2.07e-09,0,0
1.5058e+17,1,2.1e-09,2.1e-09,0,0
1.5356e+17,1,2.13e-09,2.13e-09,0,0
1.5655e+17,1,2.16e-09,2.16e-09,0,0
1.5953e+17,1,2.19e-09,2.19e-09,0,0
1.6252e+17,1,2.22e-09,2.22e-09,0,0
1.655e+17,1,2.25e-09,2.25e-09,0,0
1.6849e+17,1,2.28e-09,2.28e-09,0,0
1.7148e+17,1,2.31e-09,2.31e-09,0,0
1.7446e+17,1,2.34e-09,2.34e-09,0,0
1.7745e+17,1,2.37e-09,2.37e-09,0,0
1.8043e+17,1,2.4e-09,2.4e-09,0,0
1.8299e+17,1,2.43e-09,2.43e-09,0,0
1.8555e+17,1,2.46e-09,2.46e-09,0,0
1.8812e+17,1,2.49e-09,2.49e-09,0,0
1.9068e+17,1,2.52e-09,2.52e-09,0,0
1.9324e+17,1,2.55e-09,2.55e-09,0,0
1.958e+17,1,2.58e-09,2.58e-09,0,0
1.9836e+17,1,2.61e-09,2.61e-09,0,0
2.0092e+17,1,2.64e-09,2.64e-09,0,0
2.0349e+17,1,2.67e-09,2.67e-09,0,0
2.0605e+17,1,2.7e-09,2.7e-09,0,0
2.0861e+17,1,2.73e-09,2.73e-09,0,0
2.1117e+17,1,2.76e-09,2.76e-09,0,0
2.1373e+17,1,2.79e-09,2.79e-09,0,0
2.1629e+17,1,2.82e-09,2.82e-09,0,0
2.1886e+17,1,2.85e-09,2.85e-09,0,0
2.2142e+17,1,2.88e-09,2.88e-09,0,0
2.2398e+17,1,2.91e-09,2.91e-09,0,0
2.2654e+17,1,2.94e-09,2.94e-09,0,0
2.291e+17,1,2.97e-09,2.97e-09,0,0
2.3166e+17,1,3e-09,3e-09,0,0
2.3377e+17,1,3.03e-09,3.03e-09,0,0
2.3589e+17,1,3.06e-09,3.06e-09,0,0
2.38e+17,1,3.09e-09,3.09e-09,0,0
2.4011e+17,1,3.12e-09,3.12e-09,0,0
2.4222e+17,1,3.15e-09,3.15e-09,0,0
2.4433e+17,1,3.18e-09,3.18e-09,0,0
2.4644e+17,1,3.21e-09,3.21e-09,0,0
2.4855e+17,1,3.24e-09,3.24e-09,0,0
2.5066e+17,1,3.27e-09,3.27e-09,0,0
2.5277e+17,1,3.3e-09,3.3e-09,0,0
2.5488e+17,1,3.33e-09,3.33e-09,0,0
2.5699e+17,1,3.36e-09,3.36e-09,0,0
2.591e+17,1,3.39e-09,3.39e-09,0,0
2.6121e+17,1,3.42e-09,3.42e-09,0,0
