"arc_length","4","5","cb","2","3","6","1"
1.53e-09,9.22077e+11,3.38848e+09,1.74276e+13,2.66994e+17,4.89338e+14,1.93316e+08,9.67603e+20
1.56e-09,9.39996e+11,3.45437e+09,1.79828e+13,2.72017e+17,4.98814e+14,1.97076e+08,9.80105e+20
1.59e-09,9.57916e+11,3.52026e+09,1.8538e+13,2.77039e+17,5.0829e+14,2.00835e+08,9.92607e+20
1.62e-09,9.75835e+11,3.58616e+09,1.90932e+13,2.82062e+17,5.17767e+14,2.04595e+08,1.00511e+21
1.65e-09,9.93754e+11,3.65205e+09,1.96484e+13,2.87085e+17,5.27243e+14,2.08355e+08,1.01761e+21
1.68e-09,1.01167e+12,3.71794e+09,2.02036e+13,2.92108e+17,5.36719e+14,2.12114e+08,1.03011e+21
1.71e-09,1.02959e+12,3.78383e+09,2.07589e+13,2.97131e+17,5.46196e+14,2.15874e+08,1.04262e+21
1.74e-09,1.04751e+12,3.84972e+09,2.13141e+13,3.02153e+17,5.55672e+14,2.19633e+08,1.05512e+21
1.77e-09,1.06543e+12,3.91561e+09,2.18693e+13,3.07176e+17,5.65148e+14,2.23393e+08,1.06762e+21
1.8e-09,1.08335e+12,3.9815e+09,2.24245e+13,3.12199e+17,5.74625e+14,2.27153e+08,1.08012e+21
1.83e-09,1.10093e+12,4.04622e+09,2.2979e+13,3.16816e+17,5.83852e+14,2.30847e+08,1.08657e+21
1.86e-09,1.1185e+12,4.11094e+09,2.35335e+13,3.21433e+17,5.93079e+14,2.34541e+08,1.09302e+21
1.89e-09,1.13608e+12,4.17566e+09,2.4088e+13,3.26049e+17,6.02307e+14,2.38235e+08,1.09947e+21
1.92e-09,1.15366e+12,4.24038e+09,2.46425e+13,3.30666e+17,6.11534e+14,2.41929e+08,1.10591e+21
1.95e-09,1.17123e+12,4.3051e+09,2.5197e+13,3.35283e+17,6.20762e+14,2.45623e+08,1.11236e+21
1.98e-09,1.18881e+12,4.36982e+09,2.57515e+13,3.399e+17,6.29989e+14,2.49317e+08,1.11881e+21
2.01e-09,1.20639e+12,4.43454e+09,2.6306e+13,3.44516e+17,6.39217e+14,2.53011e+08,1.12526e+21
2.04e-09,1.22397e+12,4.49926e+09,2.68605e+13,3.49133e+17,6.48444e+14,2.56704e+08,1.1317e+21
2.07e-09,1.24154e+12,4.56398e+09,2.7415e+13,3.5375e+17,6.57671e+14,2.60398e+08,1.13815e+21
2.1e-09,1.25912e+12,4.6287e+09,2.79695e+13,3.58367e+17,6.66899e+14,2.64092e+08,1.1446e+21
2.13e-09,1.2767e+12,4.69342e+09,2.85241e+13,3.62984e+17,6.76126e+14,2.67786e+08,1.15105e+21
2.16e-09,1.29427e+12,4.75814e+09,2.90786e+13,3.676e+17,6.85354e+14,2.7148e+08,1.15749e+21
2.19e-09,1.31185e+12,4.82286e+09,2.96331e+13,3.72217e+17,6.94581e+14,2.75174e+08,1.16394e+21
2.22e-09,1.32943e+12,4.88758e+09,3.01876e+13,3.76834e+17,7.03809e+14,2.78868e+08,1.17039e+21
2.25e-09,1.347e+12,4.9523e+09,3.07421e+13,3.81451e+17,7.13036e+14,2.82562e+08,1.17684e+21
2.28e-09,1.36458e+12,5.01702e+09,3.12966e+13,3.86068e+17,7.22263e+14,2.86256e+08,1.18328e+21
2.31e-09,1.38216e+12,5.08174e+09,3.18511e+13,3.90684e+17,7.31491e+14,2.8995e+08,1.18973e+21
2.34e-09,1.39974e+12,5.14646e+09,3.24056e+13,3.95301e+17,7.40718e+14,2.93644e+08,1.19618e+21
2.37e-09,1.41731e+12,5.21118e+09,3.29601e+13,3.99918e+17,7.49946e+14,2.97338e+08,1.20262e+21
2.4e-09,1.43489e+12,5.2759e+09,3.35146e+13,4.04535e+17,7.59173e+14,3.01032e+08,1.20907e+21
2.43e-09,1.45196e+12,5.33889e+09,3.39904e+13,4.08641e+17,7.68039e+14,3.04629e+08,1.21113e+21
2.46e-09,1.46903e+12,5.40187e+09,3.44663e+13,4.12747e+17,7.76905e+14,3.08225e+08,1.21319e+21
2.49e-09,1.4861e+12,5.46485e+09,3.49421e+13,4.16853e+17,7.8577e+14,3.11822e+08,1.21525e+21
2.52e-09,1.50317e+12,5.52783e+09,3.54179e+13,4.20959e+17,7.94636e+14,3.15418e+08,1.21731e+21
2.55e-09,1.52024e+12,5.59081e+09,3.58938e+13,4.25064e+17,8.03502e+14,3.19014e+08,1.21937e+21
2.58e-09,1.53731e+12,5.65379e+09,3.63696e+13,4.2917e+17,8.12367e+14,3.22611e+08,1.22142e+21
2.61e-09,1.55438e+12,5.71677e+09,3.68454e+13,4.33276e+17,8.21233e+14,3.26207e+08,1.22348e+21
2.64e-09,1.57145e+12,5.77975e+09,3.73213e+13,4.37382e+17,8.30099e+14,3.29804e+08,1.22554e+21
2.67e-09,1.58852e+12,5.84274e+09,3.77971e+13,4.41488e+17,8.38964e+14,3.334e+08,1.2276e+21
2.7e-09,1.60559e+12,5.90572e+09,3.82729e+13,4.45594e+17,8.4783e+14,3.36997e+08,1.22966e+21
2.73e-09,1.62266e+12,5.9687e+09,3.87487e+13,4.497e+17,8.56696e+14,3.40593e+08,1.23172e+21
2.76e-09,1.63973e+12,6.03168e+09,3.92246e+13,4.53806e+17,8.65562e+14,3.4419e+08,1.23378e+21
2.79e-09,1.6568e+12,6.09466e+09,3.97004e+13,4.57912e+17,8.74427e+14,3.47786e+08,1.23583e+21
2.82e-09,1.67387e+12,6.15764e+09,4.01762e+13,4.62018e+17,8.83293e+14,3.51382e+08,1.23789e+21
2.85e-09,1.69094e+12,6.22062e+09,4.06521e+13,4.66124e+17,8.92159e+14,3.54979e+08,1.23995e+21
2.88e-09,1.70801e+12,6.2836e+09,4.11279e+13,4.7023e+17,9.01024e+14,3.58575e+08,1.24201e+21
2.91e-09,1.72508e+12,6.34658e+09,4.16037e+13,4.74336e+17,9.0989e+14,3.62172e+08,1.24407e+21
2.94e-09,1.74215e+12,6.40957e+09,4.20796e+13,4.78442e+17,9.18756e+14,3.65768e+08,1.24613e+21
2.97e-09,1.75922e+12,6.47255e+09,4.25554e+13,4.82548e+17,9.27621e+14,3.69365e+08,1.24819e+21
3e-09,1.77629e+12,6.53553e+09,4.30312e+13,4.86654e+17,9.36487e+14,3.72961e+08,1.25024e+21
3.03e-09,1.79271e+12,6.59627e+09,4.34233e+13,4.90219e+17,9.44901e+14,3.76432e+08,1.25e+21
3.06e-09,1.80913e+12,6.65702e+09,4.38153e+13,4.93785e+17,9.53315e+14,3.79903e+08,1.24975e+21
3.09e-09,1.82555e+12,6.71777e+09,4.42074e+13,4.9735e+17,9.61728e+14,3.83374e+08,1.2495e+21
3.12e-09,1.84197e+12,6.77851e+09,4.45994e+13,5.00915e+17,9.70142e+14,3.86845e+08,1.24925e+21
3.15e-09,1.85839e+12,6.83926e+09,4.49915e+13,5.04481e+17,9.78556e+14,3.90316e+08,1.249e+21
3.18e-09,1.87481e+12,6.9e+09,4.53835e+13,5.08046e+17,9.86969e+14,3.93788e+08,1.24875e+21
3.21e-09,1.89123e+12,6.96075e+09,4.57756e+13,5.11612e+17,9.95383e+14,3.97259e+08,1.24851e+21
3.24e-09,1.90766e+12,7.02149e+09,4.61676e+13,5.15177e+17,1.0038e+15,4.0073e+08,1.24826e+21
3.27e-09,1.92408e+12,7.08224e+09,4.65597e+13,5.18742e+17,1.01221e+15,4.04201e+08,1.24801e+21
3.3e-09,1.9405e+12,7.14299e+09,4.69517e+13,5.22308e+17,1.02062e+15,4.07672e+08,1.24776e+21
3.33e-09,1.95692e+12,7.20373e+09,4.73438e+13,5.25873e+17,1.02904e+15,4.11143e+08,1.24751e+21
3.36e-09,1.97334e+12,7.26448e+09,4.77359e+13,5.29439e+17,1.03745e+15,4.14614e+08,1.24726e+21
3.39e-09,1.98976e+12,7.32522e+09,4.81279e+13,5.33004e+17,1.04587e+15,4.18085e+08,1.24701e+21
3.42e-09,2.00618e+12,7.38597e+09,4.852e+13,5.36569e+17,1.05428e+15,4.21556e+08,1.24677e+21
3.45e-09,2.0226e+12,7.44672e+09,4.8912e+13,5.40135e+17,1.06269e+15,4.25027e+08,1.24652e+21
3.48e-09,2.03902e+12,7.50746e+09,4.93041e+13,5.437e+17,1.07111e+15,4.28498e+08,1.24627e+21
3.51e-09,2.05544e+12,7.56821e+09,4.96961e+13,5.47266e+17,1.07952e+15,4.31969e+08,1.24602e+21
3.54e-09,2.07186e+12,7.62895e+09,5.00882e+13,5.50831e+17,1.08793e+15,4.3544e+08,1.24577e+21
3.57e-09,2.08828e+12,7.6897e+09,5.04802e+13,5.54396e+17,1.09635e+15,4.38911e+08,1.24552e+21
3.6e-09,2.1047e+12,7.75044e+09,5.08723e+13,5.57962e+17,1.10476e+15,4.42382e+08,1.24528e+21
3.63e-09,2.12036e+12,7.80854e+09,5.12016e+13,5.61004e+17,1.11266e+15,4.45705e+08,1.24415e+21
3.66e-09,2.13601e+12,7.86664e+09,5.1531e+13,5.64046e+17,1.12055e+15,4.49027e+08,1.24302e+21
3.69e-09,2.15167e+12,7.92474e+09,5.18603e+13,5.67088e+17,1.12845e+15,4.5235e+08,1.24189e+21
3.72e-09,2.16732e+12,7.98284e+09,5.21897e+13,5.7013e+17,1.13634e+15,4.55672e+08,1.24076e+21
3.75e-09,2.18298e+12,8.04094e+09,5.2519e+13,5.73173e+17,1.14424e+15,4.58995e+08,1.23964e+21
3.78e-09,2.19863e+12,8.09904e+09,5.28484e+13,5.76215e+17,1.15214e+15,4.62317e+08,1.23851e+21
3.81e-09,2.21429e+12,8.15714e+09,5.31777e+13,5.79257e+17,1.16003e+15,4.6564e+08,1.23738e+21
3.84e-09,2.22995e+12,8.21524e+09,5.35071e+13,5.82299e+17,1.16793e+15,4.68962e+08,1.23625e+21
3.87e-09,2.2456e+12,8.27334e+09,5.38364e+13,5.85341e+17,1.17582e+15,4.72285e+08,1.23512e+21
3.9e-09,2.26126e+12,8.33144e+09,5.41658e+13,5.88384e+17,1.18372e+15,4.75607e+08,1.234e+21
3.93e-09,2.27691e+12,8.38954e+09,5.44951e+13,5.91426e+17,1.19162e+15,4.7893e+08,1.23287e+21
3.96e-09,2.29257e+12,8.44764e+09,5.48245e+13,5.94468e+17,1.19951e+15,4.82252e+08,1.23174e+21
3.99e-09,2.30822e+12,8.50574e+09,5.51538e+13,5.9751e+17,1.20741e+15,4.85575e+08,1.23061e+21
4.02e-09,2.32388e+12,8.56384e+09,5.54832e+13,6.00552e+17,1.2153e+15,4.88897e+08,1.22949e+21
4.05e-09,2.33953e+12,8.62194e+09,5.58125e+13,6.03594e+17,1.2232e+15,4.92219e+08,1.22836e+21
4.08e-09,2.35519e+12,8.68004e+09,5.61419e+13,6.06637e+17,1.2311e+15,4.95542e+08,1.22723e+21
4.11e-09,2.37084e+12,8.73814e+09,5.64712e+13,6.09679e+17,1.23899e+15,4.98864e+08,1.2261e+21
4.14e-09,2.3865e+12,8.79624e+09,5.68006e+13,6.12721e+17,1.24689e+15,5.02187e+08,1.22497e+21
