t(s),inventory(He/m2),flux_surface_left(He/m2/s),max_ib(He),x_max_ib(m),mean_ib(He),total_bubbles
1e-06,3.6307868751892296e-16,-3.457909570752397e+18,7.0,9.765625e-09,7.000000000000036,5.186838393127444e-17
2.1000000000000002e-06,8.312846973133076e-15,-3.540476486004104e+18,7.0,1.26953125e-08,7.000000000000763,1.18754956759031e-15
3.3100000000000005e-06,7.247237018811722e-14,-3.562817065799055e+18,7.00000000001,1.5625e-08,7.000000000006695,1.03531957411497e-14
4.641000000000001e-06,4.078639550498346e-13,-3.5742402746329743e+18,7.00000000006,1.85546875e-08,7.000000000039294,5.826627929250644e-14
6.105100000000001e-06,1.7746856783611461e-12,-3.581526138181221e+18,7.00000000028,2.05078125e-08,7.00000000017995,2.5352652547364627e-13
7.715610000000002e-06,6.508687704012649e-12,-3.5867240754799933e+18,7.00000000107,2.34375e-08,7.000000000697112,9.298125290520665e-13
9.487171000000002e-06,2.1126540308558284e-11,-3.5906925930369536e+18,7.00000000366,2.5390625e-08,7.000000002393131,3.01807718590509e-12
1.1435888100000002e-05,6.257351574079033e-11,-3.593863086436173e+18,7.00000001147,2.734375e-08,7.000000007498078,8.939073667680637e-12
1.3579476910000003e-05,1.7261414487190136e-10,-3.596479394041128e+18,7.00000003344,3.02734375e-08,7.000000021873399,2.465916347607452e-11
1.5937424601000003e-05,4.49947577893533e-10,-3.598691242975998e+18,7.00000009207,3.22265625e-08,7.000000060250491,6.427822486010548e-11
1.8531167061100006e-05,1.1200784479065728e-09,-3.600596420949812e+18,7.00000024174,3.41796875e-08,7.000000158296258,1.6001120322534259e-10
2.1384283767210007e-05,2.6841896834492077e-09,-3.6022619209827753e+18,7.0000006098,3.7109375e-08,7.000000399545026,3.8345564717734444e-10
2.452271214393101e-05,6.230876651297692e-09,-3.6037354261269366e+18,7.00000148368,3.90625e-08,7.000000973318215,8.901251121318152e-10
2.7974983358324114e-05,1.4079405265611965e-08,-3.6050519531315645e+18,7.00000348788,4.19921875e-08,7.000002292716989,2.011342950595973e-09
3.177248169415653e-05,3.109058212459216e-08,-3.606237896836329e+18,7.0000078994,4.39453125e-08,7.00000521325587,4.4415084242674706e-09
3.5949729863572185e-05,6.730958817581556e-08,-3.607313598351398e+18,7.00001710147,4.6875e-08,7.000011366327338,9.61563984018651e-09
4.0544702849929404e-05,1.432448509915025e-07,-3.608295034788391e+18,7.00003486378,4.8828125e-08,7.0000234545488675,2.0463481575681986e-08
4.559917313492235e-05,3.003270847515288e-07,-3.6091949652189727e+18,7.00006561502,4.98046875e-08,7.000044963489636,4.29035936651771e-08
5.115909044841459e-05,6.214849591722778e-07,-3.610023728456548e+18,7.00011200208,4.98046875e-08,7.0000786080497335,8.878256859253006e-08
5.727499949325605e-05,1.2713696715510894e-06,-3.610789811269913e+18,7.0001725145,4.78515625e-08,7.000124185212898,1.8162101670092338e-07
6.400249944258165e-05,2.5745566356734575e-06,-3.611500261298319e+18,7.00024246769,4.4921875e-08,7.000178284726961,3.677844379036236e-07
7.140274938683982e-05,5.166830992241651e-06,-3.6121609925020964e+18,7.00031735152,4.1015625e-08,7.00023651991575,7.380937740520567e-07
7.954302432552381e-05,1.0286571260092159e-05,-3.6127770147352417e+18,7.00039478566,3.61328125e-08,7.000295785473753,1.4694480883847402e-06
8.84973267580762e-05,2.03337556244757e-05,-3.613352608766637e+18,7.00047426158,3.02734375e-08,7.0003548600763565,2.9046749816128475e-06
9.834705943388383e-05,3.993857988745548e-05,-3.613891461439847e+18,7.00055628583,2.63671875e-08,7.000413902293224,5.705174071831987e-06
0.00010918176537727222,7.799770555289527e-05,-3.614396771274188e+18,7.00064177975,2.1484375e-08,7.000473779741449,1.1141775257927757e-05
0.00012109994191499945,0.00015154300360038225,-3.6148713318518344e+18,7.00073178338,1.7578125e-08,7.000535615711629,2.164734413467838e-05
0.0001342099361064994,0.0002930723620711675,-3.615317598305813e+18,7.00082744012,1.46484375e-08,7.0006005633534505,4.186388859340648e-05
0.00014863092971714937,0.0005644068013026163,-3.615737740807409e+18,7.00092980665,1.26953125e-08,7.000669722136577,8.062182958266478e-05
0.00016449402268886432,0.001082825106634585,-3.6161336879485164e+18,7.0010400897,9.765625e-09,7.000744125184583,0.00015467285866644
0.00018194342495775077,0.002070251270383099,-3.6165071621944545e+18,7.00115936252,7.8125e-09,7.000824756032906,0.0002957153396246744
0.00020113776745352586,0.003945649293532943,-3.616859709059383e+18,7.00128894525,6.8359375e-09,7.000912574578927,0.0005635907107110612
0.00022225154419887848,0.0074982631184997185,-3.6171927212723026e+18,7.00143005345,5.7373046875e-09,7.001008543628128,0.00107102613455945
0.00024547669861876636,0.014211880592396737,-3.6175074589172116e+18,7.0015840116,5.0048828125e-09,7.0011136530469145,0.0020299457053109923
0.000271024368480643,0.026870780480482755,-3.6178050663189494e+18,7.0017521231,4.7607421875e-09,7.001228940983247,0.0038380091133984606
0.00029912680532870735,0.05069026631082271,-3.618086586286232e+18,7.00193600557,4.638671875e-09,7.001355512558648,0.00724006461604432
0.0003300394858615781,0.09542270432380837,-3.6183529722003743e+18,7.00213750489,4.638671875e-09,7.001494556715248,0.013628905021755231
0.0003640434344477359,0.17927491280235222,-3.6186050983402424e+18,7.00235865165,4.5166015625e-09,7.001647361907841,0.025604676090613992
0.00040144777789250956,0.3361840028989629,-3.6188437687534833e+18,7.00260159453,4.5166015625e-09,7.001815331248097,0.0480138345549649
0.00044259255568176054,0.6293109701933164,-3.61906972491647e+18,7.00286867549,4.5166015625e-09,7.0019999976065135,0.08987588837595446
0.00048785181124993667,1.1760283807325613,-3.619283652370015e+18,7.00316244229,4.5166015625e-09,7.002203039085906,0.16795119681163723
0.0005376369923749304,2.1941232572347484,-3.6194861864753203e+18,7.00348567701,4.5166015625e-09,7.002426295212316,0.3133375725403793
0.0005924006916124235,4.087095608930204,-3.619677917405759e+18,7.0038414286,4.5166015625e-09,7.002671784133964,0.5836480324824568
0.0006526407607736659,7.60138373293994,-3.6198593944739415e+18,7.00423304687,4.5166015625e-09,7.002941721086899,1.0854558035305424
