"arc_length","2","3","4","1","6","cb","5"
0,0,0,0,0,0,0,0
5e-10,4.78678e+17,1.7051e+16,1.74169e+15,6.77692e+20,4.6245e+14,4.18354e+18,4.29916e+14
1e-09,9.55413e+17,3.40968e+16,3.4833e+15,1.26229e+21,9.24889e+14,1.56571e+19,8.59822e+14
1.5e-09,1.4238e+18,5.1125e+16,5.22458e+15,1.71385e+21,1.38729e+15,3.19118e+19,1.28969e+15
2e-09,1.87579e+18,6.81178e+16,6.96519e+15,2.01569e+21,1.84961e+15,5.00711e+19,1.71948e+15
2.5e-09,2.30477e+18,8.50561e+16,8.70475e+15,2.18471e+21,2.3118e+15,6.78856e+19,2.14914e+15
3e-09,2.70709e+18,1.01922e+17,1.04429e+16,2.26086e+21,2.77383e+15,8.43769e+19,2.57862e+15
3.5e-09,3.08178e+18,1.18699e+17,1.21792e+16,2.28584e+21,3.23564e+15,9.96274e+19,3.00789e+15
4e-09,3.42951e+18,1.35374e+17,1.39134e+16,2.28861e+21,3.69721e+15,1.1412e+20,3.43691e+15
4.5e-09,3.75166e+18,1.51937e+17,1.56452e+16,2.28383e+21,4.15849e+15,1.28254e+20,3.86564e+15
5e-09,4.04977e+18,1.68376e+17,1.73743e+16,2.27703e+21,4.61946e+15,1.42234e+20,4.29404e+15
5.5e-09,4.32532e+18,1.84682e+17,1.91005e+16,2.26982e+21,5.08007e+15,1.56128e+20,4.72208e+15
6e-09,4.57979e+18,2.00846e+17,2.08233e+16,2.26257e+21,5.54029e+15,1.69956e+20,5.14972e+15
6.5e-09,4.81459e+18,2.16863e+17,2.25427e+16,2.25533e+21,6.00009e+15,1.83722e+20,5.57693e+15
7e-09,5.03101e+18,2.32724e+17,2.42582e+16,2.24812e+21,6.45944e+15,1.97425e+20,6.00368e+15
7.5e-09,5.23023e+18,2.48423e+17,2.59697e+16,2.24092e+21,6.9183e+15,2.11066e+20,6.42993e+15
8e-09,5.40914e+18,2.63906e+17,2.76756e+16,2.23375e+21,7.37648e+15,2.2464e+20,6.85549e+15
