"arc_length","2","3","4","1","6","cb","5"
0,0,0,0,0,0,0,0
5e-10,3.73315e+17,4.84683e+15,1.35541e+14,6.60718e+20,7.6519e+12,1.52812e+19,9.14314e+12
1e-09,7.4443e+17,9.68945e+15,2.71051e+14,1.22834e+21,1.53029e+13,5.71411e+19,1.82851e+13
1.5e-09,1.10695e+18,1.45181e+16,4.06452e+14,1.66294e+21,2.2951e+13,1.16307e+20,2.7423e+13
2e-09,1.45303e+18,1.9319e+16,5.41635e+14,1.94783e+21,3.05934e+13,1.82143e+20,3.65529e+13
2.5e-09,1.77634e+18,2.40775e+16,6.76482e+14,2.09993e+21,3.82267e+13,2.46332e+20,4.56702e+13
3e-09,2.07349e+18,2.87803e+16,8.10875e+14,2.1592e+21,4.58479e+13,3.05254e+20,5.47706e+13
3.5e-09,2.34372e+18,3.34161e+16,9.44711e+14,2.16736e+21,5.34542e+13,3.59212e+20,6.38502e+13
4e-09,2.58785e+18,3.79759e+16,1.0779e+15,2.1534e+21,6.1043e+13,4.09986e+20,7.29054e+13
4.5e-09,2.80738e+18,4.24523e+16,1.21035e+15,2.13195e+21,6.86119e+13,4.59054e+20,8.1933e+13
5e-09,3.00394e+18,4.68391e+16,1.34199e+15,2.10857e+21,7.61588e+13,5.07163e+20,9.09298e+13
5.5e-09,3.1791e+18,5.1131e+16,1.47273e+15,2.08489e+21,8.36814e+13,5.5457e+20,9.98929e+13
6e-09,3.33441e+18,5.53237e+16,1.60252e+15,2.06127e+21,9.11776e+13,6.01346e+20,1.08819e+14
6.5e-09,3.47137e+18,5.94138e+16,1.73129e+15,2.03777e+21,9.86456e+13,6.47502e+20,1.17706e+14
7e-09,3.5913e+18,6.33984e+16,1.85898e+15,2.01441e+21,1.06083e+14,6.93041e+20,1.26552e+14
7.5e-09,3.69547e+18,6.72753e+16,1.98551e+15,1.99119e+21,1.13489e+14,7.37965e+20,1.35352e+14
8e-09,3.78127e+18,7.10107e+16,2.11049e+15,1.96817e+21,1.2085e+14,7.82239e+20,1.44091e+14
8.5e-09,3.85612e+18,7.46561e+16,2.23444e+15,1.94528e+21,1.28182e+14,8.25874e+20,1.5279e+14
9e-09,3.92113e+18,7.82095e+16,2.35731e+15,1.92251e+21,1.35482e+14,8.68993e+20,1.61445e+14
9.5e-09,3.97265e+18,8.16369e+16,2.47867e+15,1.89994e+21,1.4274e+14,9.11407e+20,1.70041e+14
1e-08,4.01484e+18,8.49621e+16,2.59876e+15,1.87751e+21,1.49959e+14,9.5326e+20,1.78584e+14
1.05e-08,4.04644e+18,8.81714e+16,2.71738e+15,1.85527e+21,1.57135e+14,9.94478e+20,1.87068e+14
1.1e-08,4.0693e+18,9.12694e+16,2.83452e+15,1.8332e+21,1.64267e+14,1.03508e+21,1.95491e+14
1.15e-08,4.08397e+18,9.42629e+16,2.95027e+15,1.8113e+21,1.71357e+14,1.0751e+21,2.03856e+14
1.2e-08,4.09057e+18,9.71372e+16,3.06433e+15,1.7896e+21,1.78396e+14,1.11446e+21,2.12152e+14
1.25e-08,4.09091e+18,9.99189e+16,3.17709e+15,1.76806e+21,1.85395e+14,1.1533e+21,2.20392e+14
1.3e-08,4.08391e+18,1.02575e+17,3.28797e+15,1.74674e+21,1.92335e+14,1.19142e+21,2.28553e+14
1.35e-08,4.07219e+18,1.0515e+17,3.39765e+15,1.72556e+21,1.99238e+14,1.22909e+21,2.36662e+14
1.4e-08,4.05388e+18,1.07595e+17,3.50526e+15,1.70463e+21,2.06076e+14,1.26599e+21,2.44682e+14
1.45e-08,4.0321e+18,1.0997e+17,3.61178e+15,1.68383e+21,2.12879e+14,1.30249e+21,2.52655e+14
1.5e-08,4.00446e+18,1.1221e+17,3.71606e+15,1.6633e+21,2.19609e+14,1.33818e+21,2.60528e+14
1.55e-08,3.97435e+18,1.14394e+17,3.81937e+15,1.64288e+21,2.26308e+14,1.37354e+21,2.6836e+14
1.6e-08,3.93911e+18,1.16439e+17,3.92026e+15,1.62275e+21,2.32927e+14,1.40804e+21,2.76083e+14
1.65e-08,3.90217e+18,1.18437e+17,4.02034e+15,1.60272e+21,2.39519e+14,1.44226e+21,2.8377e+14
1.7e-08,3.86081e+18,1.20296e+17,4.11781e+15,1.58301e+21,2.46023e+14,1.47559e+21,2.91338e+14
1.75e-08,3.81833e+18,1.22118e+17,4.21461e+15,1.56337e+21,2.52505e+14,1.50869e+21,2.98876e+14
1.8e-08,3.77214e+18,1.238e+17,4.30866e+15,1.54406e+21,2.58892e+14,1.54086e+21,3.06285e+14
1.85e-08,3.72526e+18,1.25455e+17,4.40218e+15,1.52482e+21,2.65261e+14,1.57286e+21,3.13671e+14
1.9e-08,3.67532e+18,1.26968e+17,4.4928e+15,1.50593e+21,2.71528e+14,1.6039e+21,3.2092e+14
1.95e-08,3.62502e+18,1.28464e+17,4.58305e+15,1.48709e+21,2.77782e+14,1.63482e+21,3.28151e+14
2e-08,3.57228e+18,1.29819e+17,4.67024e+15,1.46862e+21,2.83927e+14,1.66474e+21,3.35236e+14
