"arc_length","2","3","4","1","6","cb","5"
2.55e-08,4.92078e+18,3.34822e+17,2.33656e+16,1.69149e+21,3.37361e+15,1.32145e+21,3.38556e+15
2.6e-08,4.87323e+18,3.37824e+17,2.37204e+16,1.68002e+21,3.43215e+15,1.34098e+21,3.4434e+15
2.65e-08,4.82539e+18,3.40769e+17,2.40729e+16,1.66858e+21,3.49049e+15,1.36038e+21,3.50102e+15
2.7e-08,4.77676e+18,3.43559e+17,2.44187e+16,1.65723e+21,3.54828e+15,1.37945e+21,3.55803e+15
2.75e-08,4.72788e+18,3.46284e+17,2.47617e+16,1.64593e+21,3.60584e+15,1.39837e+21,3.61478e+15
2.8e-08,4.67846e+18,3.48869e+17,2.50985e+16,1.63471e+21,3.66287e+15,1.41698e+21,3.67095e+15
2.85e-08,4.62886e+18,3.51384e+17,2.54321e+16,1.62353e+21,3.71963e+15,1.43543e+21,3.72682e+15
2.9e-08,4.57893e+18,3.53773e+17,2.57599e+16,1.61244e+21,3.77589e+15,1.45358e+21,3.78215e+15
2.95e-08,4.52888e+18,3.56086e+17,2.60841e+16,1.6014e+21,3.83184e+15,1.47156e+21,3.83712e+15
3e-08,4.47865e+18,3.58287e+17,2.64029e+16,1.59043e+21,3.88733e+15,1.48926e+21,3.89159e+15
3.05e-08,4.42839e+18,3.60406e+17,2.67177e+16,1.57952e+21,3.94246e+15,1.50677e+21,3.94567e+15
3.1e-08,4.37808e+18,3.62426e+17,2.70276e+16,1.56869e+21,3.99716e+15,1.52403e+21,3.99928e+15
3.15e-08,4.3278e+18,3.6436e+17,2.73331e+16,1.55791e+21,4.05146e+15,1.54107e+21,4.05245e+15
3.2e-08,4.27757e+18,3.66208e+17,2.76341e+16,1.5472e+21,4.10537e+15,1.55789e+21,4.10519e+15
3.25e-08,4.22746e+18,3.67965e+17,2.79304e+16,1.53656e+21,4.15884e+15,1.57447e+21,4.15745e+15
3.3e-08,4.17745e+18,3.69647e+17,2.82226e+16,1.52598e+21,4.21194e+15,1.59086e+21,4.20931e+15
3.35e-08,4.12765e+18,3.71235e+17,2.85096e+16,1.51548e+21,4.26457e+15,1.60699e+21,4.26065e+15
3.4e-08,4.078e+18,3.72759e+17,2.87931e+16,1.50503e+21,4.31687e+15,1.62295e+21,4.31164e+15
3.45e-08,4.02864e+18,3.74185e+17,2.9071e+16,1.49466e+21,4.36865e+15,1.63863e+21,4.36205e+15
3.5e-08,3.97944e+18,3.75558e+17,2.93458e+16,1.48433e+21,4.42014e+15,1.65416e+21,4.41215e+15
3.55e-08,3.93062e+18,3.7683e+17,2.96147e+16,1.4741e+21,4.47107e+15,1.6694e+21,4.46164e+15
3.6e-08,3.88198e+18,3.78058e+17,2.98809e+16,1.46391e+21,4.52175e+15,1.68451e+21,4.51086e+15
3.65e-08,3.83379e+18,3.79184e+17,3.01409e+16,1.45381e+21,4.57183e+15,1.69932e+21,4.55942e+15
3.7e-08,3.78577e+18,3.80274e+17,3.03986e+16,1.44374e+21,4.62168e+15,1.71402e+21,4.60775e+15
3.75e-08,3.73829e+18,3.8126e+17,3.06498e+16,1.43377e+21,4.6709e+15,1.7284e+21,4.65538e+15
3.8e-08,3.69097e+18,3.82218e+17,3.08991e+16,1.42384e+21,4.71994e+15,1.74269e+21,4.70282e+15
3.85e-08,3.64426e+18,3.83072e+17,3.11416e+16,1.41401e+21,4.7683e+15,1.75664e+21,4.74952e+15
3.9e-08,3.59767e+18,3.83904e+17,3.13826e+16,1.4042e+21,4.81651e+15,1.77053e+21,4.79607e+15
3.95e-08,3.55178e+18,3.84631e+17,3.16165e+16,1.3945e+21,4.864e+15,1.78406e+21,4.84184e+15
4e-08,3.50599e+18,3.85343e+17,3.18494e+16,1.38482e+21,4.91139e+15,1.79755e+21,4.8875e+15
4.05e-08,3.46095e+18,3.8595e+17,3.20749e+16,1.37525e+21,4.95803e+15,1.81068e+21,4.93235e+15
4.1e-08,3.41598e+18,3.86548e+17,3.22997e+16,1.3657e+21,5.00459e+15,1.82378e+21,4.97712e+15
4.15e-08,3.37184e+18,3.87041e+17,3.25168e+16,1.35627e+21,5.05036e+15,1.8365e+21,5.02103e+15
4.2e-08,3.32773e+18,3.87528e+17,3.27335e+16,1.34684e+21,5.09609e+15,1.8492e+21,5.06491e+15
4.25e-08,3.28449e+18,3.87914e+17,3.29425e+16,1.33754e+21,5.14101e+15,1.86153e+21,5.10791e+15
4.3e-08,3.2413e+18,3.88294e+17,3.31511e+16,1.32825e+21,5.18588e+15,1.87384e+21,5.15086e+15
4.35e-08,3.19894e+18,3.88581e+17,3.33524e+16,1.31908e+21,5.22997e+15,1.8858e+21,5.19298e+15
4.4e-08,3.15669e+18,3.88859e+17,3.35529e+16,1.30991e+21,5.27398e+15,1.89772e+21,5.23501e+15
4.45e-08,3.11523e+18,3.89052e+17,3.37466e+16,1.30086e+21,5.31725e+15,1.90931e+21,5.27626e+15
4.5e-08,3.07392e+18,3.89232e+17,3.39392e+16,1.29183e+21,5.3604e+15,1.92084e+21,5.31737e+15
4.55e-08,3.03337e+18,3.89337e+17,3.41254e+16,1.28291e+21,5.40285e+15,1.93207e+21,5.35774e+15
4.6e-08,2.993e+18,3.89425e+17,3.43102e+16,1.274e+21,5.44514e+15,1.94322e+21,5.39794e+15
4.65e-08,2.95336e+18,3.89446e+17,3.44892e+16,1.2652e+21,5.48678e+15,1.9541e+21,5.43745e+15
4.7e-08,2.91395e+18,3.89447e+17,3.46663e+16,1.25643e+21,5.52822e+15,1.96488e+21,5.47674e+15
4.75e-08,2.87522e+18,3.89387e+17,3.48381e+16,1.24775e+21,5.56904e+15,1.9754e+21,5.51538e+15
4.8e-08,2.83676e+18,3.89305e+17,3.50078e+16,1.2391e+21,5.60963e+15,1.98583e+21,5.55376e+15
4.85e-08,2.79894e+18,3.89169e+17,3.51724e+16,1.23055e+21,5.64965e+15,1.99601e+21,5.59155e+15
4.9e-08,2.76143e+18,3.89009e+17,3.53347e+16,1.22203e+21,5.68939e+15,2.00607e+21,5.62904e+15
4.95e-08,2.7245e+18,3.88802e+17,3.54925e+16,1.21359e+21,5.7286e+15,2.01591e+21,5.66597e+15
5e-08,2.68793e+18,3.88567e+17,3.56476e+16,1.2052e+21,5.76749e+15,2.02562e+21,5.70257e+15
5.05e-08,2.6519e+18,3.88291e+17,3.57986e+16,1.19688e+21,5.8059e+15,2.03513e+21,5.73865e+15
5.1e-08,2.61626e+18,3.87987e+17,3.59466e+16,1.18861e+21,5.84396e+15,2.0445e+21,5.77437e+15
5.15e-08,2.58112e+18,3.87647e+17,3.60909e+16,1.18041e+21,5.88157e+15,2.05369e+21,5.80961e+15
5.2e-08,2.54639e+18,3.87277e+17,3.6232e+16,1.17227e+21,5.9188e+15,2.06272e+21,5.84445e+15
5.25e-08,2.51212e+18,3.86875e+17,3.63698e+16,1.16418e+21,5.95562e+15,2.07158e+21,5.87886e+15
5.3e-08,2.47831e+18,3.86442e+17,3.65041e+16,1.15616e+21,5.99202e+15,2.08028e+21,5.91283e+15
5.35e-08,2.4449e+18,3.85983e+17,3.66355e+16,1.1482e+21,6.02805e+15,2.08883e+21,5.94642e+15
5.4e-08,2.41199e+18,3.85492e+17,3.67632e+16,1.14029e+21,6.06363e+15,2.09721e+21,5.97953e+15
5.45e-08,2.37943e+18,3.84978e+17,3.68883e+16,1.13244e+21,6.09888e+15,2.10545e+21,6.01229e+15
5.5e-08,2.34739e+18,3.84431e+17,3.70095e+16,1.12466e+21,6.13365e+15,2.11351e+21,6.04455e+15
5.55e-08,2.31567e+18,3.83865e+17,3.71284e+16,1.11693e+21,6.16813e+15,2.12145e+21,6.07651e+15
5.6e-08,2.28449e+18,3.83266e+17,3.72434e+16,1.10926e+21,6.20209e+15,2.12919e+21,6.10792e+15
5.65e-08,2.25359e+18,3.82652e+17,3.73563e+16,1.10164e+21,6.23579e+15,2.13684e+21,6.13907e+15
5.7e-08,2.22326e+18,3.82004e+17,3.7465e+16,1.09409e+21,6.26895e+15,2.14428e+21,6.16965e+15
5.75e-08,2.19316e+18,3.81343e+17,3.75721e+16,1.08658e+21,6.3019e+15,2.15164e+21,6.20001e+15
5.8e-08,2.16367e+18,3.8065e+17,3.76747e+16,1.07915e+21,6.33426e+15,2.15878e+21,6.22976e+15
5.85e-08,2.13436e+18,3.79946e+17,3.7776e+16,1.07175e+21,6.36645e+15,2.16585e+21,6.25933e+15
5.9e-08,2.10568e+18,3.79208e+17,3.78728e+16,1.06443e+21,6.39803e+15,2.1727e+21,6.28827e+15
5.95e-08,2.07715e+18,3.78464e+17,3.79685e+16,1.05714e+21,6.42947e+15,2.17949e+21,6.31706e+15
6e-08,2.04926e+18,3.77686e+17,3.80594e+16,1.04994e+21,6.46027e+15,2.18605e+21,6.34519e+15
6.05e-08,2.02148e+18,3.76903e+17,3.81496e+16,1.04275e+21,6.49096e+15,2.19257e+21,6.37321e+15
6.1e-08,1.99438e+18,3.76087e+17,3.8235e+16,1.03567e+21,6.52099e+15,2.19885e+21,6.40055e+15
6.15e-08,1.96734e+18,3.75268e+17,3.83198e+16,1.02859e+21,6.55095e+15,2.20511e+21,6.42781e+15
6.2e-08,1.941e+18,3.74417e+17,3.83996e+16,1.02161e+21,6.58022e+15,2.21111e+21,6.45435e+15
6.25e-08,1.91468e+18,3.73564e+17,3.84792e+16,1.01463e+21,6.60945e+15,2.21711e+21,6.48086e+15
6.3e-08,1.88908e+18,3.72679e+17,3.85537e+16,1.00776e+21,6.63797e+15,2.22284e+21,6.50663e+15
6.35e-08,1.86351e+18,3.71793e+17,3.86279e+16,1.0009e+21,6.66645e+15,2.22857e+21,6.53236e+15
6.4e-08,1.83859e+18,3.70878e+17,3.86974e+16,9.94132e+20,6.69424e+15,2.23405e+21,6.55739e+15
6.45e-08,1.81375e+18,3.69961e+17,3.87664e+16,9.87375e+20,6.72198e+15,2.23952e+21,6.58235e+15
6.5e-08,1.78951e+18,3.69019e+17,3.8831e+16,9.8071e+20,6.74907e+15,2.24476e+21,6.60666e+15
6.55e-08,1.76536e+18,3.68073e+17,3.8895e+16,9.74058e+20,6.77607e+15,2.24996e+21,6.63087e+15
6.6e-08,1.74178e+18,3.67105e+17,3.89548e+16,9.67493e+20,6.80247e+15,2.25496e+21,6.65446e+15
6.65e-08,1.71833e+18,3.66132e+17,3.90138e+16,9.60947e+20,6.82874e+15,2.25992e+21,6.67792e+15
6.7e-08,1.69539e+18,3.6514e+17,3.9069e+16,9.5448e+20,6.85445e+15,2.26469e+21,6.70081e+15
6.75e-08,1.6726e+18,3.64142e+17,3.91231e+16,9.48037e+20,6.87999e+15,2.2694e+21,6.72353e+15
6.8e-08,1.65029e+18,3.63127e+17,3.91738e+16,9.41668e+20,6.90502e+15,2.27393e+21,6.74572e+15
6.85e-08,1.62815e+18,3.62106e+17,3.92232e+16,9.35327e+20,6.92986e+15,2.27841e+21,6.76772e+15
6.9e-08,1.60645e+18,3.6107e+17,3.92695e+16,9.29054e+20,6.95422e+15,2.28272e+21,6.78922e+15
6.95e-08,1.58495e+18,3.60028e+17,3.93143e+16,9.22813e+20,6.97835e+15,2.28696e+21,6.8105e+15
7e-08,1.56384e+18,3.58973e+17,3.93563e+16,9.16636e+20,7.00204e+15,2.29105e+21,6.83133e+15
7.05e-08,1.54295e+18,3.5791e+17,3.93966e+16,9.10493e+20,7.02549e+15,2.29506e+21,6.85191e+15
7.1e-08,1.52243e+18,3.56837e+17,3.94344e+16,9.0441e+20,7.04852e+15,2.29893e+21,6.87207e+15
